nest_ID,nest_label,year,tile_ID,nest_visible_in_satellite_binary,nest_visible_in_satellite,colony,nest_latitude,nest_longitude,date_found,date_last_alive,status,ref_latitude,ref_longitude,comment
13233,TRAL_2018_Gony_Path35,2018,56,0,no,Gonydale,-40.34757695,-9.91070758,26-Jan-18,05-Jun-18,breeder,,,
13230,TRAL_2018_Gony_Path28,2018,57,1,yes,Gonydale,-40.347812,-9.909857,14-Jan-18,17-Mar-18,breeder,-40.34777837,-9.90989136,
13321,TRAL_2018_Gonydale43,2018,78,1,yes,Gonydale,-40.346078,-9.917181,19-Jan-18,02-Jul-18,breeder,-40.34607206,-9.91718455,
13303,TRAL_2018_Gonydale21,2018,78,1,yes,Gonydale,-40.346193,-9.917886,13-Jan-18,05-Mar-18,breeder,-40.3462175,-9.91792487,
13318,TRAL_2018_Gonydale40,2018,79,1,yes,Gonydale,-40.34552523,-9.91576103,26-Jan-18,30-Aug-18,breeder,-40.34550769,-9.91577847,
13244,TRAL_2018_Gonydale107,2018,79,1,yes,Gonydale,-40.345645,-9.91597,13-Jan-18,30-Jul-18,breeder,-40.34566771,-9.91598497,
13231,TRAL_2018_Gony_Path30,2018,82,0,no,Gonydale,-40.345707,-9.912433,14-Jan-18,05-Apr-18,breeder,,,
13234,TRAL_2018_Gony_Path80,2018,83,1,yes,Gonydale,-40.346061,-9.911809,14-Jan-18,05-Apr-18,breeder,-40.34603312,-9.91184678,
13229,TRAL_2018_Gony_Path151,2018,83,0,no,Gonydale,-40.345746,-9.91197,14-Jan-18,05-Jun-18,breeder,,,Possibly not in satellite image if it abandoned nest early?
13232,TRAL_2018_Gony_Path31,2018,83,0,no,Gonydale,-40.345901,-9.912173,14-Jan-18,04-May-18,breeder,,,
13281,TRAL_2018_Gonydale140,2018,93,0,no,Gonydale,-40.344859,-9.916418,13-Jan-18,22-Oct-18,breeder,,,
13352,TRAL_2018_Gonydale73,2018,93,0,no,Gonydale,-40.344723,-9.916431,13-Jan-18,27-Mar-18,breeder,,,
13366,TRAL_2018_Gonydale86,2018,93,0,no,Gonydale,-40.34477,-9.915855,06-Jan-18,27-Mar-18,breeder,,,
13336,TRAL_2018_Gonydale59,2018,95,1,yes,Gonydale,-40.344691,-9.914052,06-Jan-18,22-Oct-18,breeder,-40.34469389,-9.91407151,
