nest_ID,nest_label,observation_before_after_satellite,date,bird_ID,first_marked,age_class,sex,minimum_age
13229,TRAL_2018_Gony_Path151,before,2018-01-26T00:00:00Z,GO-16-18-5380,2018-01-18T23:00:00Z,Adult,Male,5
13229,TRAL_2018_Gony_Path151,after,2018-02-05T00:00:00Z,GO-16-18-5380,2018-01-18T23:00:00Z,Adult,Male,5
13231,TRAL_2018_Gony_Path30,before,2018-01-26T00:00:00Z,GO-TRAL-0916-1616,2006-09-26T10:00:00Z,Adult,Male,16
13231,TRAL_2018_Gony_Path30,after,2018-02-05T00:00:00Z,GO-TRAL-1171,1987-09-20T22:00:00Z,Chick,Female,30
13232,TRAL_2018_Gony_Path31,before,2018-01-26T00:00:00Z,GO-TRAL-0916-7865,2007-08-14T22:00:00Z,Chick,Male,10
13232,TRAL_2018_Gony_Path31,after,2018-02-05T00:00:00Z,GO-TRAL-0916-1459,2011-02-01T23:00:00Z,Adult,Female,12
13235,TRAL_2018_Gonydale1,before,2018-01-26T00:00:00Z,GO-TRAL-2842,2004-08-28T22:00:00Z,Chick,Female,13
13235,TRAL_2018_Gonydale1,after,2018-02-05T00:00:00Z,GO-TRAL-2651,2003-10-07T22:00:00Z,Chick,Male,14
13236,TRAL_2018_Gonydale10,before,2018-01-26T00:00:00Z,GO-TRAL-2063,1999-08-17T22:00:00Z,Chick,Male,18
13236,TRAL_2018_Gonydale10,after,2018-02-05T00:00:00Z,GO-TRAL-0916-1226,2011-09-19T22:00:00Z,Chick,Female,6
13238,TRAL_2018_Gonydale101,before,2018-01-26T00:00:00Z,GO-TRAL-2166,2000-10-28T22:00:00Z,Chick,Male,17
13238,TRAL_2018_Gonydale101,after,2018-02-05T00:00:00Z,GO-TRAL-2587,2001-08-13T22:00:00Z,Chick,Female,16
13245,TRAL_2018_Gonydale108,before,2018-01-26T00:00:00Z,GO-TRAL-2968,2005-09-18T22:00:00Z,Chick,Female,12
13245,TRAL_2018_Gonydale108,after,2018-02-05T00:00:00Z,GO-TRAL-3076,2006-09-25T22:00:00Z,Chick,Male,11
13246,TRAL_2018_Gonydale109,before,2018-01-26T00:00:00Z,GO-TRAL-871,1985-11-06T23:00:00Z,Chick,Male,32
13246,TRAL_2018_Gonydale109,after,2018-02-05T00:00:00Z,GO-TRAL-871,1985-11-06T23:00:00Z,Chick,Male,32
13248,TRAL_2018_Gonydale110,before,2018-01-26T00:00:00Z,GO-TRAL-0916-1210,2011-09-19T22:00:00Z,Chick,Female,6
13248,TRAL_2018_Gonydale110,after,2018-02-05T00:00:00Z,GO-TRAL-0916-1141,2010-09-21T22:00:00Z,Chick,Male,7
13250,TRAL_2018_Gonydale112,before,2018-01-26T00:00:00Z,GO-16-18-4878,2018-01-05T23:00:00Z,Adult,Male,5
13250,TRAL_2018_Gonydale112,after,2018-02-05T00:00:00Z,GO-16-18-5297,2018-01-13T23:00:00Z,Adult,Female,5
13253,TRAL_2018_Gonydale115,before,2018-01-26T00:00:00Z,GO-TRAL-0916-2063,2012-02-06T23:00:00Z,Adult,Female,11
13253,TRAL_2018_Gonydale115,after,2018-02-05T00:00:00Z,GO-TRAL-2212,2001-02-21T23:00:00Z,Adult,Male,22
13254,TRAL_2018_Gonydale116,before,2018-01-26T00:00:00Z,GO-TRAL-1844,1997-11-09T23:00:00Z,Chick,Male,20
13254,TRAL_2018_Gonydale116,after,2018-02-05T00:00:00Z,GO-TRAL-0916-8042,2009-08-16T22:00:00Z,Chick,Female,8
13254,TRAL_2018_Gonydale116,after,2018-02-05T00:00:00Z,GO-TRAL-1844,1997-11-09T23:00:00Z,Chick,Male,20
13255,TRAL_2018_Gonydale117,before,2018-01-26T00:00:00Z,GO-TRAL-0916-7797,2016-01-22T23:00:00Z,Adult,Male,7
13255,TRAL_2018_Gonydale117,after,2018-02-05T00:00:00Z,GO-TRAL-0916-7797,2016-01-22T23:00:00Z,Adult,Male,7
13258,TRAL_2018_Gonydale12,before,2018-01-26T00:00:00Z,GO-TRAL-0916-7900,2016-01-22T23:00:00Z,Adult,Female,7
13258,TRAL_2018_Gonydale12,after,2018-02-05T00:00:00Z,GO-TRAL-2657,2003-10-07T22:00:00Z,Chick,Male,14
13261,TRAL_2018_Gonydale122,before,2018-01-26T00:00:00Z,GO-16-18-5377,2018-01-18T23:00:00Z,Adult,Male,11
13261,TRAL_2018_Gonydale122,after,2018-02-05T00:00:00Z,GO-TRAL-0916-8071,2009-08-17T22:00:00Z,Chick,Female,9
13262,TRAL_2018_Gonydale123,before,2018-01-26T00:00:00Z,GO-TRAL-2093,2000-09-13T22:00:00Z,Chick,Male,17
13262,TRAL_2018_Gonydale123,after,2018-02-05T00:00:00Z,GO-TRAL-0916-3206,2007-08-15T10:00:00Z,Adult,Female,15
13266,TRAL_2018_Gonydale127,before,2018-01-26T00:00:00Z,GO-TRAL-0916-621,2010-01-09T23:00:00Z,Adult,Male,13
13266,TRAL_2018_Gonydale127,after,2018-02-05T00:00:00Z,GO-TRAL-3095,2006-09-25T22:00:00Z,Chick,Female,11
13267,TRAL_2018_Gonydale128,before,2018-01-26T00:00:00Z,GO-TRAL-2245,2001-01-16T23:00:00Z,Adult,Female,22
13267,TRAL_2018_Gonydale128,after,2018-02-05T00:00:00Z,GO-TRAL-0916-346,2009-01-06T23:00:00Z,Adult,Male,14
13268,TRAL_2018_Gonydale129,before,2018-01-26T00:00:00Z,GO-TRAL-2214,2001-02-27T23:00:00Z,Adult,Male,22
13268,TRAL_2018_Gonydale129,before,2018-01-26T00:00:00Z,GO-TRAL-0916-2788,2009-01-11T23:00:00Z,Adult,Female,14
13268,TRAL_2018_Gonydale129,after,2018-02-05T00:00:00Z,GO-TRAL-2214,2001-02-27T23:00:00Z,Adult,Male,22
13270,TRAL_2018_Gonydale130,before,2018-01-26T00:00:00Z,GO-TRAL-3075,2006-09-25T22:00:00Z,Chick,Male,11
13270,TRAL_2018_Gonydale130,after,2018-02-05T00:00:00Z,GO-TRAL-3075,2006-09-25T22:00:00Z,Chick,Male,11
13271,TRAL_2018_Gonydale131,before,2018-01-26T00:00:00Z,GO-TRAL-0916-3947,2014-02-06T23:00:00Z,Adult,Female,9
13271,TRAL_2018_Gonydale131,after,2018-02-05T00:00:00Z,GO-TRAL-2681,2003-10-07T22:00:00Z,Chick,Male,14
13272,TRAL_2018_Gonydale132,before,2018-01-26T00:00:00Z,GO-TRAL-2967,2005-09-18T22:00:00Z,Chick,Male,12
13272,TRAL_2018_Gonydale132,after,2018-02-05T00:00:00Z,GO-TRAL-3128,2006-09-25T22:00:00Z,Chick,Female,11
13274,TRAL_2018_Gonydale134,before,2018-01-26T00:00:00Z,GO-TRAL-1793,1995-11-06T23:00:00Z,Chick,Female,22
13274,TRAL_2018_Gonydale134,after,2018-02-05T00:00:00Z,GO-TRAL-1793,1995-11-06T23:00:00Z,Chick,Female,22
13276,TRAL_2018_Gonydale136,before,2018-01-26T00:00:00Z,GO-TRAL-0916-3549,2013-01-31T23:00:00Z,Adult,Female,10
13276,TRAL_2018_Gonydale136,after,2018-02-05T00:00:00Z,GO-TRAL-3044,2005-09-21T22:00:00Z,Chick,Male,12
13278,TRAL_2018_Gonydale138,before,2018-01-26T00:00:00Z,GO-TRAL-0916-7859,2008-08-14T22:00:00Z,Chick,Male,9
13278,TRAL_2018_Gonydale138,after,2018-02-05T00:00:00Z,GO-TRAL-0916-7898,2008-08-14T22:00:00Z,Chick,Female,9
13281,TRAL_2018_Gonydale140,before,2018-01-26T00:00:00Z,GO-16-18-4904,2018-01-05T23:00:00Z,Adult,Female,5
13281,TRAL_2018_Gonydale140,after,2018-02-05T00:00:00Z,GO-TRAL-3082,2006-09-25T22:00:00Z,Chick,Male,11
13282,TRAL_2018_Gonydale141,before,2018-01-26T00:00:00Z,GO-TRAL-0916-8048,2009-08-16T22:00:00Z,Chick,Female,8
13282,TRAL_2018_Gonydale141,after,2018-02-05T00:00:00Z,GO-TRAL-0916-8048,2009-08-16T22:00:00Z,Chick,Female,8
13287,TRAL_2018_Gonydale146,before,2018-01-26T00:00:00Z,GO-TRAL-0916-7818,2016-01-02T23:00:00Z,Adult,Female,7
13287,TRAL_2018_Gonydale146,after,2018-02-05T00:00:00Z,GO-TRAL-2990,2005-09-18T22:00:00Z,Chick,Male,12
13289,TRAL_2018_Gonydale148,before,2018-01-26T00:00:00Z,GO-TRAL-772,1984-10-20T23:00:00Z,Chick,Male,33
13289,TRAL_2018_Gonydale148,after,2018-02-05T00:00:00Z,GO-TRAL-844,1985-11-06T23:00:00Z,Chick,Female,32
13291,TRAL_2018_Gonydale15,before,2018-01-26T00:00:00Z,GO-16-18-5547,2018-02-04T23:00:00Z,Adult,Male,5
13291,TRAL_2018_Gonydale15,after,2018-02-05T00:00:00Z,GO-16-18-4903,2018-01-05T23:00:00Z,Adult,Female,5
13293,TRAL_2018_Gonydale152,before,2018-01-26T00:00:00Z,GO-TRAL-1334,1989-10-15T23:00:00Z,Chick,Male,28
13293,TRAL_2018_Gonydale152,after,2018-02-05T00:00:00Z,GO-TRAL-0916-2456,2012-03-19T23:00:00Z,Adult,Female,11
13294,TRAL_2018_Gonydale153,before,2018-01-26T00:00:00Z,GO-TRAL-0916-911,2010-01-09T23:00:00Z,Adult,Female,13
13294,TRAL_2018_Gonydale153,after,2018-02-05T00:00:00Z,GO-TRAL-0916-993,2010-01-23T23:00:00Z,Adult,Male,13
13296,TRAL_2018_Gonydale155,before,2018-01-26T00:00:00Z,GO-TRAL-2906,2004-08-30T22:00:00Z,Chick,Male,13
13296,TRAL_2018_Gonydale155,after,2018-02-05T00:00:00Z,GO-TRAL-2349,2001-03-09T23:00:00Z,Adult,Female,22
13297,TRAL_2018_Gonydale16,before,2018-01-26T00:00:00Z,GO-TRAL-0916-8031,2009-08-16T22:00:00Z,Chick,Male,8
13297,TRAL_2018_Gonydale16,after,2018-02-05T00:00:00Z,GO-16-18-5577,2018-02-05T23:00:00Z,Adult,Female,5
13300,TRAL_2018_Gonydale19,before,2018-01-26T00:00:00Z,GO-TRAL-2006-C,2010-10-01T22:00:00Z,Chick,Female,7
13300,TRAL_2018_Gonydale19,after,2018-02-05T00:00:00Z,GO-16-18-5225,2018-01-12T23:00:00Z,Adult,Male,5
13305,TRAL_2018_Gonydale23,before,2018-01-26T00:00:00Z,GO-TRAL-2003,1999-08-17T22:00:00Z,Chick,Female,18
13305,TRAL_2018_Gonydale23,after,2018-02-05T00:00:00Z,GO-TRAL-2184,2000-11-11T23:00:00Z,Chick,Male,17
13307,TRAL_2018_Gonydale26,before,2018-01-26T00:00:00Z,GO-TRAL-0916-1435,2007-02-01T11:00:00Z,Adult,Female,16
13307,TRAL_2018_Gonydale26,after,2018-02-05T00:00:00Z,GO-TRAL-0916-1435,2007-02-01T11:00:00Z,Adult,Female,16
13312,TRAL_2018_Gonydale33,before,2018-01-26T00:00:00Z,GO-TRAL-1525,1991-10-01T23:00:00Z,Chick,Male,26
13312,TRAL_2018_Gonydale33,after,2018-02-05T00:00:00Z,GO-TRAL-2284,2001-02-05T23:00:00Z,Adult,Female,22
13315,TRAL_2018_Gonydale37,before,2018-01-26T00:00:00Z,GO-TRAL-3073,2006-09-25T22:00:00Z,Chick,Male,11
13315,TRAL_2018_Gonydale37,after,2018-02-05T00:00:00Z,GO-TRAL-3132,2006-09-25T22:00:00Z,Chick,Female,11
13317,TRAL_2018_Gonydale4,before,2018-01-26T00:00:00Z,GO-TRAL-2261,2001-01-17T23:00:00Z,Adult,Female,22
13317,TRAL_2018_Gonydale4,after,2018-02-05T00:00:00Z,GO-TRAL-1302,1988-10-28T23:00:00Z,Chick,Male,29
13319,TRAL_2018_Gonydale41,before,2018-01-26T00:00:00Z,GO-TRAL-0916-603,2010-01-23T23:00:00Z,Adult,Male,13
13319,TRAL_2018_Gonydale41,after,2018-02-05T00:00:00Z,GO-TRAL-0916-603,2010-01-23T23:00:00Z,Adult,Male,13
13324,TRAL_2018_Gonydale46,before,2018-01-26T00:00:00Z,GO-TRAL-2540,2001-08-12T22:00:00Z,Chick,Male,16
13324,TRAL_2018_Gonydale46,after,2018-02-05T00:00:00Z,GO-TRAL-0916-2388,2012-02-06T23:00:00Z,Adult,Female,11
13325,TRAL_2018_Gonydale47,before,2018-01-26T00:00:00Z,GO-TRAL-2790,2004-04-05T22:00:00Z,Adult,Female,19
13325,TRAL_2018_Gonydale47,after,2018-02-05T00:00:00Z,GO-TRAL-2790,2004-04-05T22:00:00Z,Adult,Female,19
13332,TRAL_2018_Gonydale53,before,2018-01-26T00:00:00Z,GO-TRAL-3139,2006-09-25T22:00:00Z,Chick,Female,11
13332,TRAL_2018_Gonydale53,after,2018-02-05T00:00:00Z,GO-TRAL-2909,2004-08-30T22:00:00Z,Chick,Male,13
13337,TRAL_2018_Gonydale6,before,2018-01-26T00:00:00Z,GO-TRAL-1528,1991-10-01T23:00:00Z,Chick,Male,26
13337,TRAL_2018_Gonydale6,after,2018-02-05T00:00:00Z,GO-TRAL-2744,2004-04-05T22:00:00Z,Adult,Female,19
13339,TRAL_2018_Gonydale61,before,2018-01-26T00:00:00Z,GO-TRAL-795,1984-10-20T23:00:00Z,Chick,Male,33
13339,TRAL_2018_Gonydale61,after,2018-02-05T00:00:00Z,GO-TRAL-0916-1418,2009-01-11T23:00:00Z,Adult,Female,14
13340,TRAL_2018_Gonydale62,before,2018-01-26T00:00:00Z,GO-TRAL-0916-912,2010-01-17T23:00:00Z,Adult,Male,13
13340,TRAL_2018_Gonydale62,after,2018-02-05T00:00:00Z,GO-TRAL-2567,2001-08-13T22:00:00Z,Chick,Female,16
13342,TRAL_2018_Gonydale64,before,2018-01-26T00:00:00Z,GO-TRAL-3080,2006-09-25T22:00:00Z,Chick,Male,11
13342,TRAL_2018_Gonydale64,after,2018-02-05T00:00:00Z,GO-TRAL-0916-NM-6518,2015-01-14T23:00:00Z,Adult,Female,8
13343,TRAL_2018_Gonydale65,before,2018-01-26T00:00:00Z,GO-TRAL-2769,2004-04-12T22:00:00Z,Adult,Male,19
13343,TRAL_2018_Gonydale65,after,2018-02-05T00:00:00Z,GO-TRAL-2769,2004-04-12T22:00:00Z,Adult,Male,19
13347,TRAL_2018_Gonydale69,before,2018-01-26T00:00:00Z,GO-TRAL-0916-7883,2007-08-14T22:00:00Z,Chick,Male,10
13347,TRAL_2018_Gonydale69,after,2018-02-05T00:00:00Z,GO-TRAL-0916-7853,2007-08-14T22:00:00Z,Chick,Female,10
13348,TRAL_2018_Gonydale7,before,2018-01-26T00:00:00Z,GO-TRAL-3103,2006-09-25T22:00:00Z,Chick,Female,11
13348,TRAL_2018_Gonydale7,after,2018-02-05T00:00:00Z,GO-TRAL-3017,2005-09-21T22:00:00Z,Chick,Male,12
13349,TRAL_2018_Gonydale70,before,2018-01-26T00:00:00Z,GO-TRAL-2570,2001-08-13T22:00:00Z,Chick,Male,16
13349,TRAL_2018_Gonydale70,after,2018-02-05T00:00:00Z,GO-TRAL-0916-3941,2014-01-05T23:00:00Z,Adult,Female,9
13352,TRAL_2018_Gonydale73,before,2018-01-26T00:00:00Z,GO-TRAL-2805,2004-08-20T22:00:00Z,Chick,Male,13
13352,TRAL_2018_Gonydale73,after,2018-02-05T00:00:00Z,GO-TRAL-0916-7831,2007-08-14T22:00:00Z,Chick,Female,10
13357,TRAL_2018_Gonydale78,before,2018-01-26T00:00:00Z,GO-TRAL-2662,2003-10-07T22:00:00Z,Chick,Female,14
13357,TRAL_2018_Gonydale78,after,2018-02-05T00:00:00Z,GO-TRAL-2662,2003-10-07T22:00:00Z,Chick,Female,14
13362,TRAL_2018_Gonydale82,before,2018-01-26T00:00:00Z,GO-TRAL-2574,2001-08-13T22:00:00Z,Chick,Male,16
13362,TRAL_2018_Gonydale82,after,2018-02-05T00:00:00Z,GO-TRAL-2574,2001-08-13T22:00:00Z,Chick,Male,16
13364,TRAL_2018_Gonydale84,before,2018-01-26T00:00:00Z,GO-TRAL-3123,2006-09-25T22:00:00Z,Chick,Male,11
13364,TRAL_2018_Gonydale84,after,2018-02-05T00:00:00Z,GO-TRAL-0916-7867,2016-01-16T23:00:00Z,Adult,Female,7
13365,TRAL_2018_Gonydale85,before,2018-01-26T00:00:00Z,GO-TRAL-1735,1994-09-27T23:00:00Z,Chick,Male,23
13365,TRAL_2018_Gonydale85,after,2018-02-05T00:00:00Z,GO-TRAL-1735,1994-09-27T23:00:00Z,Chick,Male,23
13366,TRAL_2018_Gonydale86,before,2018-01-26T00:00:00Z,GO-TRAL-3083,2006-09-25T22:00:00Z,Chick,Male,11
13366,TRAL_2018_Gonydale86,after,2018-02-05T00:00:00Z,GO-TRAL-1964,1998-09-26T22:00:00Z,Chick,Female,19
13367,TRAL_2018_Gonydale87,before,2018-01-26T00:00:00Z,GO-TRAL-2530,2001-08-12T22:00:00Z,Chick,Female,16
13367,TRAL_2018_Gonydale87,after,2018-02-05T00:00:00Z,GO-TRAL-2530,2001-08-12T22:00:00Z,Chick,Female,16
13369,TRAL_2018_Gonydale89,before,2018-01-26T00:00:00Z,GO-TRAL-0916-1113,2010-09-21T22:00:00Z,Chick,Male,8
13369,TRAL_2018_Gonydale89,after,2018-02-05T00:00:00Z,GO-TRAL-0916-8027,2009-08-16T22:00:00Z,Chick,Female,9
13374,TRAL_2018_Gonydale93,before,2018-01-26T00:00:00Z,GO-TRAL-0916-4001,2014-01-20T23:00:00Z,Adult,Female,9
13374,TRAL_2018_Gonydale93,after,2018-02-05T00:00:00Z,GO-TRAL-0916-4001,2014-01-20T23:00:00Z,Adult,Female,9
13375,TRAL_2018_Gonydale94,before,2018-01-26T00:00:00Z,GO-TRAL-0916-1547,2009-01-23T23:00:00Z,Adult,Male,14
13375,TRAL_2018_Gonydale94,after,2018-02-05T00:00:00Z,GO-TRAL-1476,1990-10-06T23:00:00Z,Chick,Female,27
13378,TRAL_2018_Gonydale97,before,2018-01-26T00:00:00Z,GO-TRAL-1095,1986-10-20T23:00:00Z,Chick,Female,31
13378,TRAL_2018_Gonydale97,after,2018-02-05T00:00:00Z,GO-TRAL-2068,1999-08-17T22:00:00Z,Chick,Male,18
13379,TRAL_2018_Gonydale98,before,2018-01-26T00:00:00Z,GO-TRAL-0916-354,2009-03-16T23:00:00Z,Adult,Female,14
13379,TRAL_2018_Gonydale98,after,2018-02-05T00:00:00Z,GO-TRAL-0916-354,2009-03-16T23:00:00Z,Adult,Female,14
13380,TRAL_2018_Gonydale99,before,2018-01-26T00:00:00Z,GO-TRAL-2005,1999-08-17T22:00:00Z,Chick,Male,18
13380,TRAL_2018_Gonydale99,after,2018-02-05T00:00:00Z,GO-TRAL-2005,1999-08-17T22:00:00Z,Chick,Male,18
13230,TRAL_2018_Gony_Path28,after,2018-02-05T00:00:00Z,GO-TRAL-0916-3945,2014-01-14T23:00:00Z,Adult,Male,10
13230,TRAL_2018_Gony_Path28,after,2018-01-26T00:00:00Z,unringed,,Adult,Female,5
13234,TRAL_2018_Gony_Path80,before,2018-01-26T00:00:00Z,GO-TRAL-2605,2001-08-22T22:00:00Z,Chick,Male,16
13234,TRAL_2018_Gony_Path80,after,2018-02-05T00:00:00Z,GO-TRAL-0916-2232,2012-01-28T23:00:00Z,Adult,Female,11
13237,TRAL_2018_Gonydale100,before,2018-01-26T00:00:00Z,GO-TRAL-2337,2001-02-27T23:00:00Z,Adult,Male,22
13237,TRAL_2018_Gonydale100,before,2018-01-26T00:00:00Z,GO-TRAL-2334,2001-02-22T23:00:00Z,Adult,Female,22
13237,TRAL_2018_Gonydale100,after,2018-02-05T00:00:00Z,GO-TRAL-2334,2001-02-22T23:00:00Z,Adult,Female,22
13239,TRAL_2018_Gonydale102,before,2018-01-26T00:00:00Z,GO-TRAL-0916-2269,2012-01-28T23:00:00Z,Adult,Female,11
13239,TRAL_2018_Gonydale102,after,2018-02-05T00:00:00Z,GO-TRAL-2204,2001-02-13T23:00:00Z,Adult,Male,22
13240,TRAL_2018_Gonydale103,before,2018-01-26T00:00:00Z,GO-TRAL-2285,2001-02-05T23:00:00Z,Adult,Female,22
13240,TRAL_2018_Gonydale103,after,2018-02-05T00:00:00Z,GO-TRAL-2288,2001-02-05T23:00:00Z,Adult,Male,22
13241,TRAL_2018_Gonydale104,before,2018-01-26T00:00:00Z,GO-TRAL-0916-8084,2009-08-16T22:00:00Z,Chick,Male,8
13241,TRAL_2018_Gonydale104,after,2018-02-05T00:00:00Z,GO-TRAL-3118,2006-09-25T22:00:00Z,Chick,Female,11
13242,TRAL_2018_Gonydale105,before,2018-01-26T00:00:00Z,GO-TRAL-2925,2004-08-30T22:00:00Z,Chick,Female,13
13242,TRAL_2018_Gonydale105,after,2018-02-05T00:00:00Z,GO-TRAL-2258,2001-01-17T23:00:00Z,Adult,Male,22
13243,TRAL_2018_Gonydale106,before,2018-01-26T00:00:00Z,GO-TRAL-0916-2312,2012-02-06T23:00:00Z,Adult,Female,11
13243,TRAL_2018_Gonydale106,after,2018-02-05T00:00:00Z,GO-TRAL-0916-2264,2012-01-28T23:00:00Z,Adult,Male,11
13244,TRAL_2018_Gonydale107,before,2018-01-26T00:00:00Z,GO-TRAL-0916-3608,2013-02-13T23:00:00Z,Adult,Male,10
13244,TRAL_2018_Gonydale107,after,2018-02-05T00:00:00Z,GO-TRAL-2810,2004-08-21T22:00:00Z,Chick,Female,13
13247,TRAL_2018_Gonydale11,before,2018-01-26T00:00:00Z,GO-TRAL-1045,1986-09-26T22:00:00Z,Chick,Male,31
13247,TRAL_2018_Gonydale11,after,2018-02-05T00:00:00Z,GO-TRAL-2777,2004-04-16T22:00:00Z,Adult,Female,19
13249,TRAL_2018_Gonydale111,before,2018-01-26T00:00:00Z,GO-TRAL-0916-1248,2011-09-19T22:00:00Z,Chick,Female,6
13249,TRAL_2018_Gonydale111,after,2018-02-05T00:00:00Z,GO-16-18-5547,2018-02-04T23:00:00Z,Adult,Male,5
13251,TRAL_2018_Gonydale113,before,2018-01-26T00:00:00Z,GO-TRAL-0916-1047,2010-02-08T23:00:00Z,Adult,Female,13
13251,TRAL_2018_Gonydale113,after,2018-02-05T00:00:00Z,GO-TRAL-0916-1047,2010-02-08T23:00:00Z,Adult,Female,13
13252,TRAL_2018_Gonydale114,before,2018-01-26T00:00:00Z,GO-TRAL-1335,1989-10-15T23:00:00Z,Chick,Male,28
13252,TRAL_2018_Gonydale114,after,2018-02-05T00:00:00Z,GO-TRAL-2792,2004-09-15T22:00:00Z,Adult,Female,18
13257,TRAL_2018_Gonydale119,before,2018-01-26T00:00:00Z,GO-TRAL-2549,2001-08-13T22:00:00Z,Chick,Female,16
13257,TRAL_2018_Gonydale119,after,2018-02-05T00:00:00Z,GO-TRAL-2549,2001-08-13T22:00:00Z,Chick,Female,16
13259,TRAL_2018_Gonydale120,before,2018-01-26T00:00:00Z,GO-TRAL-2615,2001-08-22T22:00:00Z,Chick,Female,16
13259,TRAL_2018_Gonydale120,after,2018-02-05T00:00:00Z,GO-TRAL-2615,2001-08-22T22:00:00Z,Chick,Female,16
13260,TRAL_2018_Gonydale121,before,2018-01-26T00:00:00Z,GO-TRAL-1897,1998-03-25T23:00:00Z,Adult,Male,25
