nest_ID,year,colony,latitude,longitude,aspect_degrees,slope_degrees
13229,2018,Gonydale,-40.345746,-9.91197,127,8.5
13230,2018,Gonydale,-40.347812,-9.909857,126,9.1
13231,2018,Gonydale,-40.345707,-9.912433,146,8.7
13232,2018,Gonydale,-40.345901,-9.912173,138,8.9
13233,2018,Gonydale,-40.34757695,-9.91070758,147,13.6
13234,2018,Gonydale,-40.346061,-9.911809,116,6.1
13235,2018,Gonydale,-40.34250489,-9.91059132,251,28
13236,2018,Gonydale,-40.34185429,-9.9146666,187,5.8
13237,2018,Gonydale,-40.335876,-9.918915,169,15.3
13238,2018,Gonydale,-40.340014,-9.919145,73,3.8
13239,2018,Gonydale,-40.337673,-9.923377,162,19.8
13240,2018,Gonydale,-40.33968832,-9.91172296,245,23
13241,2018,Gonydale,-40.336405,-9.921363,149,9.7
13242,2018,Gonydale,-40.335905,-9.919875,142,14.4
13243,2018,Gonydale,-40.341266,-9.91813,86,5.9
13244,2018,Gonydale,-40.345645,-9.91597,80,9
13245,2018,Gonydale,-40.343391,-9.914385,20,6.3
13246,2018,Gonydale,-40.336474,-9.918993,161,7.8
13247,2018,Gonydale,-40.34117259,-9.91479585,224,6.6
13248,2018,Gonydale,-40.3404,-9.920606,15,5.1
13249,2018,Gonydale,-40.345181,-9.912999,124,4.7
13250,2018,Gonydale,-40.33686,-9.918683,155,4.4
13251,2018,Gonydale,-40.33818469,-9.91452444,236,12.4
13252,2018,Gonydale,-40.338109,-9.918139,121,1
13253,2018,Gonydale,-40.3438916,-9.91228798,233,12.8
13254,2018,Gonydale,-40.34282223,-9.91442327,187,4.9
13255,2018,Gonydale,-40.34412168,-9.91180753,204,18.1
13256,2018,Gonydale,-40.33989594,-9.91311737,250,20.1
13257,2018,Gonydale,-40.34181993,-9.91286147,225,21.1
13258,2018,Gonydale,-40.34154709,-9.91553798,231,4.9
13259,2018,Gonydale,-40.337697,-9.920749,132,5
13260,2018,Gonydale,-40.339518,-9.916846,149,3.8
13261,2018,Gonydale,-40.33923905,-9.91537655,250,5.5
13262,2018,Gonydale,-40.3399236,-9.91604157,264,2
13263,2018,Gonydale,-40.336077,-9.918723,177,13.1
13264,2018,Gonydale,-40.336787,-9.916952,180,4.6
13265,2018,Gonydale,-40.336042,-9.917411,174,15.7
13266,2018,Gonydale,-40.34320822,-9.91127805,244,22.2
13267,2018,Gonydale,-40.340163,-9.922007,37,4.1
13268,2018,Gonydale,-40.338906,-9.917722,159,3.1
13269,2018,Gonydale,-40.340116,-9.920621,71,5
13270,2018,Gonydale,-40.34189545,-9.91340009,235,17.6
13271,2018,Gonydale,-40.33741021,-9.9170914,231,3.4
13272,2018,Gonydale,-40.338391,-9.920047,189,4.7
13273,2018,Gonydale,-40.34286959,-9.91365943,226,10.1
13274,2018,Gonydale,-40.34449082,-9.91107361,196,22
13275,2018,Gonydale,-40.34242845,-9.91408096,264,12
13276,2018,Gonydale,-40.34196024,-9.91435907,226,4.9
13277,2018,Gonydale,-40.34407935,-9.91132666,214,21.6
13278,2018,Gonydale,-40.33601353,-9.91592347,221,11.6
13279,2018,Gonydale,-40.338429,-9.920735,177,6.6
13280,2018,Gonydale,-40.33877,-9.919416,169,4
13281,2018,Gonydale,-40.344859,-9.916418,73,3
13282,2018,Gonydale,-40.336062,-9.919855,126,13.4
13283,2018,Gonydale,-40.342554,-9.918369,109,12.4
13284,2018,Gonydale,-40.34174105,-9.91247616,240,19.5
13285,2018,Gonydale,-40.34026081,-9.91490783,259,9.6
13286,2018,Gonydale,-40.33905817,-9.91609639,245,4.9
13287,2018,Gonydale,-40.33775018,-9.917338,134,1.8
13288,2018,Gonydale,-40.33936688,-9.91522525,256,5.8
13289,2018,Gonydale,-40.33590021,-9.91601885,214,14.6
13290,2018,Gonydale,-40.342484,-9.916463,282,0.9
13291,2018,Gonydale,-40.336948,-9.919763,158,9.7
13292,2018,Gonydale,-40.33905826,-9.91418364,246,11.8
13293,2018,Gonydale,-40.34274101,-9.91212546,240,22.6
13294,2018,Gonydale,-40.33655567,-9.91471245,241,13.4
13295,2018,Gonydale,-40.34013273,-9.91240256,288,18.6
13296,2018,Gonydale,-40.33991111,-9.91537881,259,5.2
13297,2018,Gonydale,-40.34507738,-9.9098859,192,29.3
13298,2018,Gonydale,-40.337011,-9.91527,252,10
13299,2018,Gonydale,-40.33876631,-9.91433183,256,12.8
13300,2018,Gonydale,-40.34232586,-9.91163026,238,19.5
13301,2018,Gonydale,-40.33709815,-9.91380243,265,17.6
13302,2018,Gonydale,-40.336725,-9.919447,139,7.9
13303,2018,Gonydale,-40.346193,-9.917886,216,5.1
13304,2018,Gonydale,-40.339913,-9.917353,103,3.9
13305,2018,Gonydale,-40.34106329,-9.91648422,210,2.5
13306,2018,Gonydale,-40.33681,-9.917279,176,5.7
13307,2018,Gonydale,-40.3417,-9.917581,80,9.5
13308,2018,Gonydale,-40.33876003,-9.9150893,238,8.4
13309,2018,Gonydale,-40.339763,-9.915072,248,7.4
13310,2018,Gonydale,-40.335536,-9.919696,145,10.1
13311,2018,Gonydale,-40.34216333,-9.91218237,244,22.1
13312,2018,Gonydale,-40.338024,-9.914795,258,17.7
13313,2018,Gonydale,-40.33697343,-9.91403435,262,22.9
13314,2018,Gonydale,-40.339994,-9.923339,28,15.5
13315,2018,Gonydale,-40.342826,-9.918602,131,11.1
13316,2018,Gonydale,-40.337691,-9.920132,108,6.4
