observer,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
CA,1_Gough_Island_100m2_259.jpg,52903,{},2,0,"{""name"":""point"",""cx"":138,""cy"":24}",{}
CA,1_Gough_Island_100m2_259.jpg,52903,{},2,1,"{""name"":""point"",""cx"":243,""cy"":213}",{}
CA,2_Gough_Island_100m2_56.jpg,56973,{},1,0,"{""name"":""point"",""cx"":286,""cy"":304}",{}
CA,3_Gough_Island_100m2_57.jpg,61766,{},1,0,"{""name"":""point"",""cx"":154,""cy"":277}",{}
CA,4_Gough_Island_100m2_147.jpg,49628,{},0,0,{},{}
CA,5_Gough_Island_100m2_200.jpg,53128,{},1,0,"{""name"":""point"",""cx"":230,""cy"":88}",{}
CA,6_Gough_Island_100m2_79.jpg,52572,{},1,0,"{""name"":""point"",""cx"":328,""cy"":31}",{}
CA,7_Gough_Island_100m2_83.jpg,58810,{},1,0,"{""name"":""point"",""cx"":110,""cy"":213}",{}
CA,8_Gough_Island_100m2_106.jpg,56699,{},1,0,"{""name"":""point"",""cx"":158,""cy"":164}",{}
CA,9_Gough_Island_100m2_160.jpg,51361,{},0,0,{},{}
CA,10_Gough_Island_100m2_132.jpg,52003,{},1,0,"{""name"":""point"",""cx"":237,""cy"":275}",{}
CA,11_Gough_Island_100m2_134.jpg,55581,{},2,0,"{""name"":""point"",""cx"":109,""cy"":246}",{}
CA,11_Gough_Island_100m2_134.jpg,55581,{},2,1,"{""name"":""point"",""cx"":316,""cy"":30}",{}
CA,12_Gough_Island_100m2_151.jpg,56763,{},0,0,{},{}
CA,13_Gough_Island_100m2_164.jpg,51976,{},1,0,"{""name"":""point"",""cx"":267,""cy"":52}",{}
CA,14_Gough_Island_100m2_165.jpg,53222,{},2,0,"{""name"":""point"",""cx"":105,""cy"":229}",{}
CA,14_Gough_Island_100m2_165.jpg,53222,{},2,1,"{""name"":""point"",""cx"":116,""cy"":251}",{}
CA,15_Gough_Island_100m2_166.jpg,51382,{},1,0,"{""name"":""point"",""cx"":105,""cy"":269}",{}
CA,16_Gough_Island_100m2_168.jpg,53435,{},1,0,"{""name"":""point"",""cx"":82,""cy"":223}",{}
CA,17_Gough_Island_100m2_169.jpg,54083,{},2,0,"{""name"":""point"",""cx"":216,""cy"":91}",{}
CA,17_Gough_Island_100m2_169.jpg,54083,{},2,1,"{""name"":""point"",""cx"":47,""cy"":231}",{}
CA,18_Gough_Island_100m2_171.jpg,55973,{},2,0,"{""name"":""point"",""cx"":248,""cy"":28}",{}
CA,18_Gough_Island_100m2_171.jpg,55973,{},2,1,"{""name"":""point"",""cx"":162,""cy"":27}",{}
CA,19_Gough_Island_100m2_199.jpg,51385,{},1,0,"{""name"":""point"",""cx"":218,""cy"":130}",{}
CA,20_Gough_Island_100m2_254.jpg,51146,{},0,0,{},{}
CA,21_Gough_Island_100m2_203.jpg,49872,{},3,0,"{""name"":""point"",""cx"":14,""cy"":302}",{}
CA,21_Gough_Island_100m2_203.jpg,49872,{},3,1,"{""name"":""point"",""cx"":7,""cy"":302}",{}
CA,21_Gough_Island_100m2_203.jpg,49872,{},3,2,"{""name"":""point"",""cx"":171,""cy"":104}",{}
CA,22_Gough_Island_100m2_204.jpg,54957,{},2,0,"{""name"":""point"",""cx"":204,""cy"":306}",{}
CA,22_Gough_Island_100m2_204.jpg,54957,{},2,1,"{""name"":""point"",""cx"":321,""cy"":159}",{}
CA,23_Gough_Island_100m2_222.jpg,57986,{},4,0,"{""name"":""point"",""cx"":224,""cy"":223}",{}
CA,23_Gough_Island_100m2_222.jpg,57986,{},4,1,"{""name"":""point"",""cx"":127,""cy"":113}",{}
CA,23_Gough_Island_100m2_222.jpg,57986,{},4,2,"{""name"":""point"",""cx"":70,""cy"":180}",{}
CA,23_Gough_Island_100m2_222.jpg,57986,{},4,3,"{""name"":""point"",""cx"":234,""cy"":81}",{}
CA,24_Gough_Island_100m2_102.jpg,51255,{},0,0,{},{}
CA,25_Gough_Island_100m2_239.jpg,51683,{},6,0,"{""name"":""point"",""cx"":150,""cy"":213}",{}
CA,25_Gough_Island_100m2_239.jpg,51683,{},6,1,"{""name"":""point"",""cx"":225,""cy"":207}",{}
CA,25_Gough_Island_100m2_239.jpg,51683,{},6,2,"{""name"":""point"",""cx"":173,""cy"":163}",{}
CA,25_Gough_Island_100m2_239.jpg,51683,{},6,3,"{""name"":""point"",""cx"":255,""cy"":315}",{}
CA,25_Gough_Island_100m2_239.jpg,51683,{},6,4,"{""name"":""point"",""cx"":48,""cy"":33}",{}
CA,25_Gough_Island_100m2_239.jpg,51683,{},6,5,"{""name"":""point"",""cx"":64,""cy"":98}",{}
CA,26_Gough_Island_100m2_240.jpg,31451,{},1,0,"{""name"":""point"",""cx"":288,""cy"":144}",{}
CA,27_Gough_Island_100m2_286.jpg,30664,{},4,0,"{""name"":""point"",""cx"":21,""cy"":280}",{}
CA,27_Gough_Island_100m2_286.jpg,30664,{},4,1,"{""name"":""point"",""cx"":269,""cy"":141}",{}
CA,27_Gough_Island_100m2_286.jpg,30664,{},4,2,"{""name"":""point"",""cx"":244,""cy"":89}",{}
CA,27_Gough_Island_100m2_286.jpg,30664,{},4,3,"{""name"":""point"",""cx"":292,""cy"":15}",{}
CA,28_Gough_Island_100m2_257.jpg,30687,{},1,0,"{""name"":""point"",""cx"":59,""cy"":145}",{}
CA,29_Gough_Island_100m2_260.jpg,32344,{},1,0,"{""name"":""point"",""cx"":308,""cy"":327}",{}
CA,30_Gough_Island_100m2_224.jpg,32814,{},1,0,"{""name"":""point"",""cx"":317,""cy"":323}",{}
