observer,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
CB,1_Gough_Island_100m2_259.jpg,52903,{},0,0,{},{}
CB,2_Gough_Island_100m2_56.jpg,56973,{},1,0,"{""name"":""point"",""cx"":286,""cy"":305}",{}
CB,3_Gough_Island_100m2_57.jpg,61766,{},0,0,{},{}
CB,4_Gough_Island_100m2_147.jpg,49628,{},0,0,{},{}
CB,5_Gough_Island_100m2_200.jpg,53128,{},1,0,"{""name"":""point"",""cx"":231,""cy"":88}",{}
CB,6_Gough_Island_100m2_79.jpg,52572,{},1,0,"{""name"":""point"",""cx"":328,""cy"":31}",{}
CB,7_Gough_Island_100m2_83.jpg,58810,{},1,0,"{""name"":""point"",""cx"":110,""cy"":214}",{}
CB,8_Gough_Island_100m2_106.jpg,56699,{},2,0,"{""name"":""point"",""cx"":160,""cy"":164}",{}
CB,8_Gough_Island_100m2_106.jpg,56699,{},2,1,"{""name"":""point"",""cx"":120,""cy"":167}",{}
CB,9_Gough_Island_100m2_160.jpg,51361,{},1,0,"{""name"":""point"",""cx"":268,""cy"":271}",{}
CB,10_Gough_Island_100m2_132.jpg,52003,{},1,0,"{""name"":""point"",""cx"":237,""cy"":275}",{}
CB,11_Gough_Island_100m2_134.jpg,55581,{},2,0,"{""name"":""point"",""cx"":314,""cy"":30}",{}
CB,11_Gough_Island_100m2_134.jpg,55581,{},2,1,"{""name"":""point"",""cx"":110,""cy"":246}",{}
CB,12_Gough_Island_100m2_151.jpg,56763,{},1,0,"{""name"":""point"",""cx"":47,""cy"":267}",{}
CB,13_Gough_Island_100m2_164.jpg,51976,{},1,0,"{""name"":""point"",""cx"":267,""cy"":51}",{}
CB,14_Gough_Island_100m2_165.jpg,53222,{},1,0,"{""name"":""point"",""cx"":106,""cy"":228}",{}
CB,15_Gough_Island_100m2_166.jpg,51382,{},1,0,"{""name"":""point"",""cx"":84,""cy"":319}",{}
CB,16_Gough_Island_100m2_168.jpg,53435,{},1,0,"{""name"":""point"",""cx"":83,""cy"":223}",{}
CB,17_Gough_Island_100m2_169.jpg,54083,{},1,0,"{""name"":""point"",""cx"":216,""cy"":91}",{}
CB,18_Gough_Island_100m2_171.jpg,55973,{},2,0,"{""name"":""point"",""cx"":163,""cy"":27}",{}
CB,18_Gough_Island_100m2_171.jpg,55973,{},2,1,"{""name"":""point"",""cx"":247,""cy"":29}",{}
CB,19_Gough_Island_100m2_199.jpg,51385,{},0,0,{},{}
CB,20_Gough_Island_100m2_254.jpg,51146,{},3,0,"{""name"":""point"",""cx"":234,""cy"":155}",{}
CB,20_Gough_Island_100m2_254.jpg,51146,{},3,1,"{""name"":""point"",""cx"":122,""cy"":195}",{}
CB,20_Gough_Island_100m2_254.jpg,51146,{},3,2,"{""name"":""point"",""cx"":303,""cy"":17}",{}
CB,21_Gough_Island_100m2_203.jpg,49872,{},1,0,"{""name"":""point"",""cx"":15,""cy"":302}",{}
CB,22_Gough_Island_100m2_204.jpg,54957,{},1,0,"{""name"":""point"",""cx"":204,""cy"":307}",{}
CB,23_Gough_Island_100m2_222.jpg,57986,{},0,0,{},{}
CB,24_Gough_Island_100m2_102.jpg,51255,{},0,0,{},{}
CB,25_Gough_Island_100m2_239.jpg,51683,{},0,0,{},{}
CB,26_Gough_Island_100m2_240.jpg,31451,{},2,0,"{""name"":""point"",""cx"":288,""cy"":144}",{}
CB,26_Gough_Island_100m2_240.jpg,31451,{},2,1,"{""name"":""point"",""cx"":198,""cy"":149}",{}
CB,27_Gough_Island_100m2_286.jpg,30664,{},0,0,{},{}
CB,28_Gough_Island_100m2_257.jpg,30687,{},1,0,"{""name"":""point"",""cx"":58,""cy"":145}",{}
CB,29_Gough_Island_100m2_260.jpg,32344,{},0,0,{},{}
CB,30_Gough_Island_100m2_224.jpg,32814,{},0,0,{},{}
