observer,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
EB,1_Gough_Island_100m2_259.jpg,52903,{},0,0,{},{}
EB,2_Gough_Island_100m2_56.jpg,56973,{},1,0,"{""name"":""point"",""cx"":285,""cy"":304}",{}
EB,3_Gough_Island_100m2_57.jpg,61766,{},0,0,{},{}
EB,4_Gough_Island_100m2_147.jpg,49628,{},0,0,{},{}
EB,5_Gough_Island_100m2_200.jpg,53128,{},1,0,"{""name"":""point"",""cx"":231,""cy"":88}",{}
EB,6_Gough_Island_100m2_79.jpg,52572,{},1,0,"{""name"":""point"",""cx"":328,""cy"":31}",{}
EB,7_Gough_Island_100m2_83.jpg,58810,{},2,0,"{""name"":""point"",""cx"":204,""cy"":260}",{}
EB,7_Gough_Island_100m2_83.jpg,58810,{},2,1,"{""name"":""point"",""cx"":110,""cy"":214}",{}
EB,8_Gough_Island_100m2_106.jpg,56699,{},1,0,"{""name"":""point"",""cx"":159,""cy"":164}",{}
EB,9_Gough_Island_100m2_160.jpg,51361,{},0,0,{},{}
EB,10_Gough_Island_100m2_132.jpg,52003,{},1,0,"{""name"":""point"",""cx"":237,""cy"":275}",{}
EB,11_Gough_Island_100m2_134.jpg,55581,{},2,0,"{""name"":""point"",""cx"":109,""cy"":245}",{}
EB,11_Gough_Island_100m2_134.jpg,55581,{},2,1,"{""name"":""point"",""cx"":314,""cy"":30}",{}
EB,12_Gough_Island_100m2_151.jpg,56763,{},0,0,{},{}
EB,13_Gough_Island_100m2_164.jpg,51976,{},1,0,"{""name"":""point"",""cx"":267,""cy"":52}",{}
EB,14_Gough_Island_100m2_165.jpg,53222,{},1,0,"{""name"":""point"",""cx"":106,""cy"":228}",{}
EB,15_Gough_Island_100m2_166.jpg,51382,{},0,0,{},{}
EB,16_Gough_Island_100m2_168.jpg,53435,{},1,0,"{""name"":""point"",""cx"":82,""cy"":222}",{}
EB,17_Gough_Island_100m2_169.jpg,54083,{},1,0,"{""name"":""point"",""cx"":216,""cy"":90}",{}
EB,18_Gough_Island_100m2_171.jpg,55973,{},1,0,"{""name"":""point"",""cx"":247,""cy"":28}",{}
EB,19_Gough_Island_100m2_199.jpg,51385,{},0,0,{},{}
EB,20_Gough_Island_100m2_254.jpg,51146,{},0,0,{},{}
EB,21_Gough_Island_100m2_203.jpg,49872,{},0,0,{},{}
EB,22_Gough_Island_100m2_204.jpg,54957,{},0,0,{},{}
EB,23_Gough_Island_100m2_222.jpg,57986,{},1,0,"{""name"":""point"",""cx"":224,""cy"":222}",{}
EB,24_Gough_Island_100m2_102.jpg,51255,{},0,0,{},{}
EB,25_Gough_Island_100m2_239.jpg,51683,{},0,0,{},{}
EB,26_Gough_Island_100m2_240.jpg,31451,{},1,0,"{""name"":""point"",""cx"":288,""cy"":143}",{}
EB,27_Gough_Island_100m2_286.jpg,30664,{},0,0,{},{}
EB,28_Gough_Island_100m2_257.jpg,30687,{},1,0,"{""name"":""point"",""cx"":58,""cy"":144}",{}
EB,29_Gough_Island_100m2_260.jpg,32344,{},0,0,{},{}
EB,30_Gough_Island_100m2_224.jpg,32814,{},0,0,{},{}
