observer,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
EP,1_Gough_Island_100m2_259.jpg,52903,{},3,0,"{""name"":""point"",""cx"":138,""cy"":24}",{}
EP,1_Gough_Island_100m2_259.jpg,52903,{},3,1,"{""name"":""point"",""cx"":57,""cy"":97}",{}
EP,1_Gough_Island_100m2_259.jpg,52903,{},3,2,"{""name"":""point"",""cx"":112,""cy"":108}",{}
EP,2_Gough_Island_100m2_56.jpg,56973,{},2,0,"{""name"":""point"",""cx"":286,""cy"":304}",{}
EP,2_Gough_Island_100m2_56.jpg,56973,{},2,1,"{""name"":""point"",""cx"":110,""cy"":302}",{}
EP,3_Gough_Island_100m2_57.jpg,61766,{},1,0,"{""name"":""point"",""cx"":3,""cy"":187}",{}
EP,4_Gough_Island_100m2_147.jpg,49628,{},1,0,"{""name"":""point"",""cx"":108,""cy"":100}",{}
EP,5_Gough_Island_100m2_200.jpg,53128,{},1,0,"{""name"":""point"",""cx"":231,""cy"":87}",{}
EP,6_Gough_Island_100m2_79.jpg,52572,{},2,0,"{""name"":""point"",""cx"":328,""cy"":31}",{}
EP,6_Gough_Island_100m2_79.jpg,52572,{},2,1,"{""name"":""point"",""cx"":194,""cy"":29}",{}
EP,7_Gough_Island_100m2_83.jpg,58810,{},2,0,"{""name"":""point"",""cx"":110,""cy"":214}",{}
EP,7_Gough_Island_100m2_83.jpg,58810,{},2,1,"{""name"":""point"",""cx"":204,""cy"":260}",{}
EP,8_Gough_Island_100m2_106.jpg,56699,{},1,0,"{""name"":""point"",""cx"":159,""cy"":164}",{}
EP,9_Gough_Island_100m2_160.jpg,51361,{},0,0,{},{}
EP,10_Gough_Island_100m2_132.jpg,52003,{},3,0,"{""name"":""point"",""cx"":237,""cy"":274}",{}
EP,10_Gough_Island_100m2_132.jpg,52003,{},3,1,"{""name"":""point"",""cx"":171,""cy"":216}",{}
EP,10_Gough_Island_100m2_132.jpg,52003,{},3,2,"{""name"":""point"",""cx"":114,""cy"":6}",{}
EP,11_Gough_Island_100m2_134.jpg,55581,{},4,0,"{""name"":""point"",""cx"":109,""cy"":245}",{}
EP,11_Gough_Island_100m2_134.jpg,55581,{},4,1,"{""name"":""point"",""cx"":315,""cy"":29}",{}
EP,11_Gough_Island_100m2_134.jpg,55581,{},4,2,"{""name"":""point"",""cx"":30,""cy"":212}",{}
EP,11_Gough_Island_100m2_134.jpg,55581,{},4,3,"{""name"":""point"",""cx"":288,""cy"":124}",{}
EP,12_Gough_Island_100m2_151.jpg,56763,{},0,0,{},{}
EP,13_Gough_Island_100m2_164.jpg,51976,{},1,0,"{""name"":""point"",""cx"":268,""cy"":51}",{}
EP,14_Gough_Island_100m2_165.jpg,53222,{},1,0,"{""name"":""point"",""cx"":106,""cy"":228}",{}
EP,15_Gough_Island_100m2_166.jpg,51382,{},1,0,"{""name"":""point"",""cx"":84,""cy"":318}",{}
EP,16_Gough_Island_100m2_168.jpg,53435,{},1,0,"{""name"":""point"",""cx"":82,""cy"":222}",{}
EP,17_Gough_Island_100m2_169.jpg,54083,{},1,0,"{""name"":""point"",""cx"":216,""cy"":90}",{}
EP,18_Gough_Island_100m2_171.jpg,55973,{},3,0,"{""name"":""point"",""cx"":164,""cy"":27}",{}
EP,18_Gough_Island_100m2_171.jpg,55973,{},3,1,"{""name"":""point"",""cx"":248,""cy"":28}",{}
EP,18_Gough_Island_100m2_171.jpg,55973,{},3,2,"{""name"":""point"",""cx"":98,""cy"":30}",{}
EP,19_Gough_Island_100m2_199.jpg,51385,{},1,0,"{""name"":""point"",""cx"":217,""cy"":129}",{}
EP,20_Gough_Island_100m2_254.jpg,51146,{},1,0,"{""name"":""point"",""cx"":305,""cy"":129}",{}
EP,21_Gough_Island_100m2_203.jpg,49872,{},3,0,"{""name"":""point"",""cx"":15,""cy"":302}",{}
EP,21_Gough_Island_100m2_203.jpg,49872,{},3,1,"{""name"":""point"",""cx"":260,""cy"":313}",{}
EP,21_Gough_Island_100m2_203.jpg,49872,{},3,2,"{""name"":""point"",""cx"":156,""cy"":107}",{}
EP,22_Gough_Island_100m2_204.jpg,54957,{},3,0,"{""name"":""point"",""cx"":203,""cy"":305}",{}
EP,22_Gough_Island_100m2_204.jpg,54957,{},3,1,"{""name"":""point"",""cx"":119,""cy"":150}",{}
EP,22_Gough_Island_100m2_204.jpg,54957,{},3,2,"{""name"":""point"",""cx"":321,""cy"":159}",{}
EP,23_Gough_Island_100m2_222.jpg,57986,{},4,0,"{""name"":""point"",""cx"":127,""cy"":113}",{}
EP,23_Gough_Island_100m2_222.jpg,57986,{},4,1,"{""name"":""point"",""cx"":224,""cy"":222}",{}
EP,23_Gough_Island_100m2_222.jpg,57986,{},4,2,"{""name"":""point"",""cx"":122,""cy"":143}",{}
EP,23_Gough_Island_100m2_222.jpg,57986,{},4,3,"{""name"":""point"",""cx"":71,""cy"":178}",{}
EP,24_Gough_Island_100m2_102.jpg,51255,{},0,0,{},{}
EP,25_Gough_Island_100m2_239.jpg,51683,{},1,0,"{""name"":""point"",""cx"":173,""cy"":214}",{}
EP,26_Gough_Island_100m2_240.jpg,31451,{},1,0,"{""name"":""point"",""cx"":288,""cy"":143}",{}
EP,27_Gough_Island_100m2_286.jpg,30664,{},0,0,{},{}
EP,28_Gough_Island_100m2_257.jpg,30687,{},3,0,"{""name"":""point"",""cx"":59,""cy"":144}",{}
EP,28_Gough_Island_100m2_257.jpg,30687,{},3,1,"{""name"":""point"",""cx"":120,""cy"":218}",{}
EP,28_Gough_Island_100m2_257.jpg,30687,{},3,2,"{""name"":""point"",""cx"":218,""cy"":132}",{}
EP,29_Gough_Island_100m2_260.jpg,32344,{},1,0,"{""name"":""point"",""cx"":308,""cy"":327}",{}
EP,30_Gough_Island_100m2_224.jpg,32814,{},0,0,{},{}
