observer,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
HM,1_Gough_Island_100m2_259.jpg,52903,{},3,0,"{""name"":""point"",""cx"":138,""cy"":25}",{}
HM,1_Gough_Island_100m2_259.jpg,52903,{},3,1,"{""name"":""point"",""cx"":113,""cy"":108}",{}
HM,1_Gough_Island_100m2_259.jpg,52903,{},3,2,"{""name"":""point"",""cx"":58,""cy"":99}",{}
HM,2_Gough_Island_100m2_56.jpg,56973,{},2,0,"{""name"":""point"",""cx"":285,""cy"":305}",{}
HM,2_Gough_Island_100m2_56.jpg,56973,{},2,1,"{""name"":""point"",""cx"":111,""cy"":303}",{}
HM,3_Gough_Island_100m2_57.jpg,61766,{},2,0,"{""name"":""point"",""cx"":3,""cy"":187}",{}
HM,3_Gough_Island_100m2_57.jpg,61766,{},2,1,"{""name"":""point"",""cx"":155,""cy"":167}",{}
HM,4_Gough_Island_100m2_147.jpg,49628,{},1,0,"{""name"":""point"",""cx"":107,""cy"":101}",{}
HM,5_Gough_Island_100m2_200.jpg,53128,{},2,0,"{""name"":""point"",""cx"":231,""cy"":88}",{}
HM,5_Gough_Island_100m2_200.jpg,53128,{},2,1,"{""name"":""point"",""cx"":78,""cy"":123}",{}
HM,6_Gough_Island_100m2_79.jpg,52572,{},3,0,"{""name"":""point"",""cx"":329,""cy"":31}",{}
HM,6_Gough_Island_100m2_79.jpg,52572,{},3,1,"{""name"":""point"",""cx"":271,""cy"":91}",{}
HM,6_Gough_Island_100m2_79.jpg,52572,{},3,2,"{""name"":""point"",""cx"":193,""cy"":29}",{}
HM,7_Gough_Island_100m2_83.jpg,58810,{},2,0,"{""name"":""point"",""cx"":203,""cy"":261}",{}
HM,7_Gough_Island_100m2_83.jpg,58810,{},2,1,"{""name"":""point"",""cx"":109,""cy"":215}",{}
HM,8_Gough_Island_100m2_106.jpg,56699,{},1,0,"{""name"":""point"",""cx"":159,""cy"":163}",{}
HM,9_Gough_Island_100m2_160.jpg,51361,{},3,0,"{""name"":""point"",""cx"":161,""cy"":185}",{}
HM,9_Gough_Island_100m2_160.jpg,51361,{},3,1,"{""name"":""point"",""cx"":182,""cy"":191}",{}
HM,9_Gough_Island_100m2_160.jpg,51361,{},3,2,"{""name"":""point"",""cx"":83,""cy"":165}",{}
HM,10_Gough_Island_100m2_132.jpg,52003,{},2,0,"{""name"":""point"",""cx"":237,""cy"":274}",{}
HM,10_Gough_Island_100m2_132.jpg,52003,{},2,1,"{""name"":""point"",""cx"":114,""cy"":7}",{}
HM,11_Gough_Island_100m2_134.jpg,55581,{},3,0,"{""name"":""point"",""cx"":109,""cy"":246}",{}
