observer,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
MB,1_Gough_Island_100m2_259.jpg,52903,{},0,0,{},{}
MB,2_Gough_Island_100m2_56.jpg,56973,{},1,0,"{""name"":""point"",""cx"":285,""cy"":305}",{}
MB,3_Gough_Island_100m2_57.jpg,61766,{},0,0,{},{}
MB,4_Gough_Island_100m2_147.jpg,49628,{},0,0,{},{}
MB,5_Gough_Island_100m2_200.jpg,53128,{},1,0,"{""name"":""point"",""cx"":231,""cy"":88}",{}
MB,6_Gough_Island_100m2_79.jpg,52572,{},1,0,"{""name"":""point"",""cx"":328,""cy"":30}",{}
MB,7_Gough_Island_100m2_83.jpg,58810,{},1,0,"{""name"":""point"",""cx"":110,""cy"":214}",{}
MB,8_Gough_Island_100m2_106.jpg,56699,{},1,0,"{""name"":""point"",""cx"":159,""cy"":163}",{}
MB,9_Gough_Island_100m2_160.jpg,51361,{},0,0,{},{}
MB,10_Gough_Island_100m2_132.jpg,52003,{},1,0,"{""name"":""point"",""cx"":238,""cy"":274}",{}
MB,11_Gough_Island_100m2_134.jpg,55581,{},2,0,"{""name"":""point"",""cx"":315,""cy"":30}",{}
MB,11_Gough_Island_100m2_134.jpg,55581,{},2,1,"{""name"":""point"",""cx"":109,""cy"":245}",{}
MB,12_Gough_Island_100m2_151.jpg,56763,{},0,0,{},{}
MB,13_Gough_Island_100m2_164.jpg,51976,{},1,0,"{""name"":""point"",""cx"":267,""cy"":51}",{}
MB,14_Gough_Island_100m2_165.jpg,53222,{},1,0,"{""name"":""point"",""cx"":106,""cy"":228}",{}
MB,15_Gough_Island_100m2_166.jpg,51382,{},1,0,"{""name"":""point"",""cx"":84,""cy"":318}",{}
MB,16_Gough_Island_100m2_168.jpg,53435,{},1,0,"{""name"":""point"",""cx"":82,""cy"":222}",{}
MB,17_Gough_Island_100m2_169.jpg,54083,{},1,0,"{""name"":""point"",""cx"":216,""cy"":90}",{}
MB,18_Gough_Island_100m2_171.jpg,55973,{},2,0,"{""name"":""point"",""cx"":248,""cy"":28}",{}
MB,18_Gough_Island_100m2_171.jpg,55973,{},2,1,"{""name"":""point"",""cx"":163,""cy"":27}",{}
MB,19_Gough_Island_100m2_199.jpg,51385,{},0,0,{},{}
MB,20_Gough_Island_100m2_254.jpg,51146,{},0,0,{},{}
MB,21_Gough_Island_100m2_203.jpg,49872,{},0,0,{},{}
MB,22_Gough_Island_100m2_204.jpg,54957,{},1,0,"{""name"":""point"",""cx"":204,""cy"":305}",{}
MB,23_Gough_Island_100m2_222.jpg,57986,{},0,0,{},{}
MB,24_Gough_Island_100m2_102.jpg,51255,{},0,0,{},{}
MB,25_Gough_Island_100m2_239.jpg,51683,{},0,0,{},{}
MB,26_Gough_Island_100m2_240.jpg,31451,{},1,0,"{""name"":""point"",""cx"":288,""cy"":143}",{}
MB,27_Gough_Island_100m2_286.jpg,30664,{},0,0,{},{}
MB,28_Gough_Island_100m2_257.jpg,30687,{},1,0,"{""name"":""point"",""cx"":59,""cy"":144}",{}
MB,29_Gough_Island_100m2_260.jpg,32344,{},1,0,"{""name"":""point"",""cx"":308,""cy"":327}",{}
MB,30_Gough_Island_100m2_224.jpg,32814,{},1,0,"{""name"":""point"",""cx"":318,""cy"":323}",{}
