observer,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
NR,1_Gough_Island_100m2_259.jpg,52903,{},3,0,"{""name"":""point"",""cx"":111,""cy"":108}",{}
NR,1_Gough_Island_100m2_259.jpg,52903,{},3,1,"{""name"":""point"",""cx"":137,""cy"":25}",{}
NR,1_Gough_Island_100m2_259.jpg,52903,{},3,2,"{""name"":""point"",""cx"":58,""cy"":98}",{}
NR,2_Gough_Island_100m2_56.jpg,56973,{},2,0,"{""name"":""point"",""cx"":285,""cy"":305}",{}
NR,2_Gough_Island_100m2_56.jpg,56973,{},2,1,"{""name"":""point"",""cx"":110,""cy"":302}",{}
NR,3_Gough_Island_100m2_57.jpg,61766,{},4,0,"{""name"":""point"",""cx"":216,""cy"":200}",{}
NR,3_Gough_Island_100m2_57.jpg,61766,{},4,1,"{""name"":""point"",""cx"":154,""cy"":167}",{}
NR,3_Gough_Island_100m2_57.jpg,61766,{},4,2,"{""name"":""point"",""cx"":93,""cy"":88}",{}
NR,3_Gough_Island_100m2_57.jpg,61766,{},4,3,"{""name"":""point"",""cx"":83,""cy"":68}",{}
NR,4_Gough_Island_100m2_147.jpg,49628,{},0,0,{},{}
NR,5_Gough_Island_100m2_200.jpg,53128,{},1,0,"{""name"":""point"",""cx"":230,""cy"":87}",{}
NR,6_Gough_Island_100m2_79.jpg,52572,{},1,0,"{""name"":""point"",""cx"":328,""cy"":31}",{}
NR,7_Gough_Island_100m2_83.jpg,58810,{},1,0,"{""name"":""point"",""cx"":110,""cy"":213}",{}
NR,8_Gough_Island_100m2_106.jpg,56699,{},1,0,"{""name"":""point"",""cx"":160,""cy"":163}",{}
NR,9_Gough_Island_100m2_160.jpg,51361,{},0,0,{},{}
NR,10_Gough_Island_100m2_132.jpg,52003,{},1,0,"{""name"":""point"",""cx"":236,""cy"":274}",{}
NR,11_Gough_Island_100m2_134.jpg,55581,{},3,0,"{""name"":""point"",""cx"":315,""cy"":29}",{}
NR,11_Gough_Island_100m2_134.jpg,55581,{},3,1,"{""name"":""point"",""cx"":109,""cy"":245}",{}
NR,11_Gough_Island_100m2_134.jpg,55581,{},3,2,"{""name"":""point"",""cx"":30,""cy"":212}",{}
NR,12_Gough_Island_100m2_151.jpg,56763,{},0,0,{},{}
NR,13_Gough_Island_100m2_164.jpg,51976,{},1,0,"{""name"":""point"",""cx"":267,""cy"":52}",{}
NR,14_Gough_Island_100m2_165.jpg,53222,{},1,0,"{""name"":""point"",""cx"":106,""cy"":229}",{}
NR,15_Gough_Island_100m2_166.jpg,51382,{},1,0,"{""name"":""point"",""cx"":85,""cy"":318}",{}
NR,16_Gough_Island_100m2_168.jpg,53435,{},1,0,"{""name"":""point"",""cx"":83,""cy"":221}",{}
NR,17_Gough_Island_100m2_169.jpg,54083,{},1,0,"{""name"":""point"",""cx"":217,""cy"":91}",{}
NR,18_Gough_Island_100m2_171.jpg,55973,{},2,0,"{""name"":""point"",""cx"":247,""cy"":28}",{}
NR,18_Gough_Island_100m2_171.jpg,55973,{},2,1,"{""name"":""point"",""cx"":162,""cy"":26}",{}
NR,19_Gough_Island_100m2_199.jpg,51385,{},0,0,{},{}
NR,20_Gough_Island_100m2_254.jpg,51146,{},0,0,{},{}
NR,21_Gough_Island_100m2_203.jpg,49872,{},0,0,{},{}
NR,22_Gough_Island_100m2_204.jpg,54957,{},2,0,"{""name"":""point"",""cx"":204,""cy"":306}",{}
NR,22_Gough_Island_100m2_204.jpg,54957,{},2,1,"{""name"":""point"",""cx"":321,""cy"":159}",{}
NR,23_Gough_Island_100m2_222.jpg,57986,{},0,0,{},{}
NR,24_Gough_Island_100m2_102.jpg,51255,{},0,0,{},{}
NR,25_Gough_Island_100m2_239.jpg,51683,{},1,0,"{""name"":""point"",""cx"":64,""cy"":97}",{}
NR,26_Gough_Island_100m2_240.jpg,31451,{},1,0,"{""name"":""point"",""cx"":287,""cy"":144}",{}
NR,27_Gough_Island_100m2_286.jpg,30664,{},0,0,{},{}
NR,28_Gough_Island_100m2_257.jpg,30687,{},1,0,"{""name"":""point"",""cx"":60,""cy"":145}",{}
NR,29_Gough_Island_100m2_260.jpg,32344,{},0,0,{},{}
NR,30_Gough_Island_100m2_224.jpg,32814,{},0,0,{},{}
