observer,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
ST,1_Gough_Island_100m2_259.jpg,52903,{},0,0,{},{}
ST,2_Gough_Island_100m2_56.jpg,56973,{},2,0,"{""name"":""point"",""cx"":286,""cy"":304}",{}
ST,2_Gough_Island_100m2_56.jpg,56973,{},2,1,"{""name"":""point"",""cx"":110,""cy"":302}",{}
ST,3_Gough_Island_100m2_57.jpg,61766,{},1,0,"{""name"":""point"",""cx"":155,""cy"":168}",{}
ST,4_Gough_Island_100m2_147.jpg,49628,{},0,0,{},{}
ST,5_Gough_Island_100m2_200.jpg,53128,{},1,0,"{""name"":""point"",""cx"":231,""cy"":87}",{}
ST,6_Gough_Island_100m2_79.jpg,52572,{},1,0,"{""name"":""point"",""cx"":329,""cy"":31}",{}
ST,7_Gough_Island_100m2_83.jpg,58810,{},1,0,"{""name"":""point"",""cx"":110,""cy"":214}",{}
ST,8_Gough_Island_100m2_106.jpg,56699,{},1,0,"{""name"":""point"",""cx"":159,""cy"":163}",{}
ST,9_Gough_Island_100m2_160.jpg,51361,{},0,0,{},{}
ST,10_Gough_Island_100m2_132.jpg,52003,{},1,0,"{""name"":""point"",""cx"":237,""cy"":274}",{}
ST,11_Gough_Island_100m2_134.jpg,55581,{},3,0,"{""name"":""point"",""cx"":315,""cy"":29}",{}
ST,11_Gough_Island_100m2_134.jpg,55581,{},3,1,"{""name"":""point"",""cx"":109,""cy"":245}",{}
ST,11_Gough_Island_100m2_134.jpg,55581,{},3,2,"{""name"":""point"",""cx"":30,""cy"":211}",{}
ST,12_Gough_Island_100m2_151.jpg,56763,{},1,0,"{""name"":""point"",""cx"":46,""cy"":266}",{}
ST,13_Gough_Island_100m2_164.jpg,51976,{},1,0,"{""name"":""point"",""cx"":267,""cy"":51}",{}
ST,14_Gough_Island_100m2_165.jpg,53222,{},1,0,"{""name"":""point"",""cx"":106,""cy"":227}",{}
ST,15_Gough_Island_100m2_166.jpg,51382,{},1,0,"{""name"":""point"",""cx"":85,""cy"":318}",{}
ST,16_Gough_Island_100m2_168.jpg,53435,{},1,0,"{""name"":""point"",""cx"":82,""cy"":222}",{}
ST,17_Gough_Island_100m2_169.jpg,54083,{},1,0,"{""name"":""point"",""cx"":217,""cy"":90}",{}
ST,18_Gough_Island_100m2_171.jpg,55973,{},2,0,"{""name"":""point"",""cx"":163,""cy"":27}",{}
ST,18_Gough_Island_100m2_171.jpg,55973,{},2,1,"{""name"":""point"",""cx"":247,""cy"":27}",{}
ST,19_Gough_Island_100m2_199.jpg,51385,{},2,0,"{""name"":""point"",""cx"":42,""cy"":203}",{}
ST,19_Gough_Island_100m2_199.jpg,51385,{},2,1,"{""name"":""point"",""cx"":218,""cy"":128}",{}
ST,20_Gough_Island_100m2_254.jpg,51146,{},0,0,{},{}
ST,21_Gough_Island_100m2_203.jpg,49872,{},0,0,{},{}
ST,22_Gough_Island_100m2_204.jpg,54957,{},1,0,"{""name"":""point"",""cx"":203,""cy"":306}",{}
ST,23_Gough_Island_100m2_222.jpg,57986,{},0,0,{},{}
ST,24_Gough_Island_100m2_102.jpg,51255,{},0,0,{},{}
ST,25_Gough_Island_100m2_239.jpg,51683,{},1,0,"{""name"":""point"",""cx"":173,""cy"":162}",{}
ST,26_Gough_Island_100m2_240.jpg,31451,{},1,0,"{""name"":""point"",""cx"":289,""cy"":143}",{}
ST,27_Gough_Island_100m2_286.jpg,30664,{},2,0,"{""name"":""point"",""cx"":144,""cy"":29}",{}
ST,27_Gough_Island_100m2_286.jpg,30664,{},2,1,"{""name"":""point"",""cx"":21,""cy"":280}",{}
ST,28_Gough_Island_100m2_257.jpg,30687,{},3,0,"{""name"":""point"",""cx"":59,""cy"":144}",{}
ST,28_Gough_Island_100m2_257.jpg,30687,{},3,1,"{""name"":""point"",""cx"":120,""cy"":218}",{}
ST,28_Gough_Island_100m2_257.jpg,30687,{},3,2,"{""name"":""point"",""cx"":255,""cy"":170}",{}
ST,29_Gough_Island_100m2_260.jpg,32344,{},0,0,{},{}
ST,30_Gough_Island_100m2_224.jpg,32814,{},0,0,{},{}
