OID_,Join_Count,TARGET_FID,Id,observer,Tile_ID,obs_ID,latitude,longitude,correction
0,0,0,0,gold standard,42,gold standard,-40.348434060000002,-9.910693730000000,not orthorectified
1,1,1,0,gold standard,56,gold standard,-40.348155009999999,-9.910064640000000,not orthorectified
2,1,2,0,gold standard,57,gold standard,-40.347833569999999,-9.909876349999999,not orthorectified
3,3,3,0,gold standard,83,gold standard,-40.346034920000001,-9.911847540000000,not orthorectified
4,3,4,0,gold standard,83,gold standard,-40.346010550000003,-9.911997510000001,not orthorectified
5,1,5,0,gold standard,82,gold standard,-40.345686379999997,-9.912468990000001,not orthorectified
6,1,6,0,gold standard,96,gold standard,-40.345159889999998,-9.913049120000000,not orthorectified
7,1,7,0,gold standard,95,gold standard,-40.344682190000000,-9.914076530000001,not orthorectified
8,3,8,0,gold standard,107,gold standard,-40.344278529999997,-9.914748660000001,not orthorectified
9,3,9,0,gold standard,107,gold standard,-40.344038349999998,-9.915243869999999,not orthorectified
10,3,10,0,gold standard,93,gold standard,-40.344853139999998,-9.916478170000000,not orthorectified
11,2,11,0,gold standard,106,gold standard,-40.344043749999997,-9.916363860000001,not orthorectified
12,2,12,0,gold standard,106,gold standard,-40.343992829999998,-9.916123030000000,not orthorectified
13,2,13,0,gold standard,78,gold standard,-40.346043039999998,-9.917193690000000,not orthorectified
14,2,14,0,gold standard,78,gold standard,-40.346189090000003,-9.917935310000001,not orthorectified
15,2,15,0,gold standard,79,gold standard,-40.345490560000002,-9.915784850000000,not orthorectified
16,2,16,0,gold standard,79,gold standard,-40.345647090000000,-9.915990660000000,not orthorectified
17,4,17,0,gold standard,121,gold standard,-40.342873009999998,-9.913706860000000,not orthorectified
18,1,18,0,gold standard,120,gold standard,-40.342880960000002,-9.914788220000000,not orthorectified
19,4,19,0,gold standard,136,gold standard,-40.342417990000001,-9.914147760000001,not orthorectified
20,4,20,0,gold standard,136,gold standard,-40.342344210000000,-9.913785310000000,not orthorectified
21,3,21,0,gold standard,154,gold standard,-40.341759930000002,-9.912906039999999,not orthorectified
22,3,22,0,gold standard,154,gold standard,-40.341655760000002,-9.912566229999999,not orthorectified
23,3,23,0,gold standard,154,gold standard,-40.341462679999999,-9.912913180000000,not orthorectified
24,2,24,0,gold standard,153,gold standard,-40.341225860000002,-9.913453700000000,not orthorectified
25,2,25,0,gold standard,153,gold standard,-40.340991369999998,-9.914232680000000,not orthorectified
26,2,26,0,gold standard,152,gold standard,-40.341142509999997,-9.914828399999999,not orthorectified
27,2,27,0,gold standard,152,gold standard,-40.340995999999997,-9.915286220000000,not orthorectified
28,2,28,0,gold standard,169,gold standard,-40.340623950000001,-9.915534980000000,not orthorectified
29,3,29,0,gold standard,168,gold standard,-40.340599550000000,-9.916583910000000,not orthorectified
30,1,30,0,gold standard,185,gold standard,-40.339956630000003,-9.917304110000000,not orthorectified
31,1,31,0,gold standard,185,gold standard,-40.339894739999998,-9.917374349999999,not orthorectified
32,1,32,0,gold standard,165,gold standard,-40.340569400000000,-9.920037570000000,not orthorectified
33,2,33,0,gold standard,164,gold standard,-40.340090269999997,-9.920641959999999,not orthorectified
34,0,34,0,gold standard,180,gold standard,-40.339915550000001,-9.923376709999999,not orthorectified
35,2,35,0,gold standard,200,gold standard,-40.338390339999997,-9.920745370000001,not orthorectified
36,2,36,0,gold standard,200,gold standard,-40.338485790000000,-9.920872440000000,not orthorectified
37,1,37,0,gold standard,220,gold standard,-40.337641699999999,-9.920163860000001,not orthorectified
38,1,38,0,gold standard,219,gold standard,-40.337640030000003,-9.920792970000001,not orthorectified
39,3,39,0,gold standard,238,gold standard,-40.337241790000000,-9.920203350000000,not orthorectified
40,3,40,0,gold standard,238,gold standard,-40.336692380000002,-9.919491649999999,not orthorectified
41,3,41,0,gold standard,239,gold standard,-40.336439960000000,-9.919010139999999,not orthorectified
42,3,42,0,gold standard,256,gold standard,-40.335879749999997,-9.919951250000000,not orthorectified
