OID_,Join_Count,TARGET_FID,Id,observer,obs_ID,latitude,Tile_ID,longitude,correction
0,2,0,0,MRGA,ref 1,-40.342461630000003,134,-9.916516180000000,not orthorectified
1,2,1,0,MRGA,ref 1,-40.342512669999998,132,-9.918425729999999,not orthorectified
2,2,2,0,MRGA,ref 1,-40.340623549999997,169,-9.915535100000000,not orthorectified
3,2,3,0,MRGA,ref 1,-40.340238530000001,169,-9.914933930000000,not orthorectified
4,2,4,0,MRGA,ref 1,-40.340991359999997,153,-9.914232760000001,not orthorectified
5,2,5,0,MRGA,ref 1,-40.340995339999999,152,-9.915286640000000,not orthorectified
6,5,6,0,MRGA,ref 1,-40.339327529999998,187,-9.915240969999999,not orthorectified
7,3,7,0,MRGA,ref 1,-40.338877900000000,205,-9.915270130000000,not orthorectified
8,3,8,0,MRGA,ref 1,-40.338701890000003,205,-9.915114170000001,not orthorectified
9,2,9,0,MRGA,ref 1,-40.338619899999998,204,-9.915717330000000,not orthorectified
10,2,10,0,MRGA,ref 1,-40.339019630000003,204,-9.916137590000000,not orthorectified
11,1,11,0,MRGA,ref 1,-40.339954640000002,185,-9.917302360000001,not orthorectified
12,1,12,0,MRGA,ref 1,-40.339893459999999,185,-9.917377510000000,not orthorectified
13,2,13,0,MRGA,ref 1,-40.340090519999997,164,-9.920642420000000,not orthorectified
14,0,14,0,MRGA,ref 1,-40.339912820000002,180,-9.923375370000000,not orthorectified
15,1,15,0,MRGA,ref 1,-40.341223679999999,149,-9.918207940000000,not orthorectified
16,1,16,0,MRGA,ref 1,-40.348154030000003,56,-9.910064269999999,not orthorectified
17,1,17,0,MRGA,ref 1,-40.347833070000000,57,-9.909877099999999,not orthorectified
18,4,18,0,MRGA,ref 1,-40.338699280000000,206,-9.914489809999999,not orthorectified
19,4,19,0,MRGA,ref 1,-40.338708099999998,206,-9.914391790000000,not orthorectified
20,4,20,0,MRGA,ref 1,-40.339032340000003,206,-9.914034550000000,not orthorectified
21,4,21,0,MRGA,ref 1,-40.339005370000002,206,-9.914222300000000,not orthorectified
22,4,22,0,MRGA,ref 1,-40.339131139999999,206,-9.913535650000000,not orthorectified
23,2,23,0,MRGA,ref 1,-40.339316080000003,189,-9.912974560000000,not orthorectified
24,1,24,0,MRGA,ref 1,-40.339554460000002,190,-9.911804999999999,not orthorectified
25,2,25,0,MRGA,ref 1,-40.340034740000000,189,-9.912485350000001,not orthorectified
26,1,26,0,MRGA,ref 1,-40.342880289999997,120,-9.914788700000001,not orthorectified
27,4,27,0,MRGA,ref 1,-40.342871969999997,121,-9.913706140000000,not orthorectified
28,3,28,0,MRGA,ref 1,-40.342775379999999,122,-9.912614290000000,not orthorectified
29,1,29,0,MRGA,ref 1,-40.342079750000003,137,-9.912911480000000,not orthorectified
30,3,30,0,MRGA,ref 1,-40.341655000000003,154,-9.912565839999999,not orthorectified
31,3,31,0,MRGA,ref 1,-40.341758790000000,154,-9.912907150000001,not orthorectified
32,3,32,0,MRGA,ref 1,-40.341464459999997,154,-9.912913450000000,not orthorectified
33,2,33,0,MRGA,ref 1,-40.341226589999998,153,-9.913453410000001,not orthorectified
34,3,34,0,MRGA,ref 1,-40.340598839999998,168,-9.916583540000000,not orthorectified
35,5,35,0,MRGA,ref 1,-40.339704130000001,187,-9.915069850000000,not orthorectified
36,3,36,0,MRGA,ref 1,-40.339104980000002,205,-9.915468730000001,not orthorectified
37,3,37,0,MRGA,ref 1,-40.338400810000003,205,-9.914732360000000,not orthorectified
38,3,38,0,MRGA,ref 1,-40.338141659999998,224,-9.914554280000001,not orthorectified
39,1,39,0,MRGA,ref 1,-40.337783330000001,223,-9.915854619999999,not orthorectified
40,1,40,0,MRGA,ref 1,-40.337763969999997,223,-9.916016600000001,not orthorectified
41,1,41,0,MRGA,ref 1,-40.337593910000002,223,-9.916454829999999,not orthorectified
42,4,42,0,MRGA,ref 1,-40.337881539999998,222,-9.917228950000000,not orthorectified
43,2,43,0,MRGA,ref 1,-40.338047099999997,221,-9.918198920000000,not orthorectified
44,2,44,0,MRGA,ref 1,-40.338725420000003,201,-9.919462550000000,not orthorectified
45,2,45,0,MRGA,ref 1,-40.338390599999997,200,-9.920746380000001,not orthorectified
46,1,46,0,MRGA,ref 1,-40.340568279999999,165,-9.920035990000001,not orthorectified
47,2,47,0,MRGA,ref 1,-40.341886500000001,134,-9.915781259999999,not orthorectified
48,4,48,0,MRGA,ref 1,-40.342417640000001,136,-9.914148440000000,not orthorectified
49,5,49,0,MRGA,ref 1,-40.344059500000000,110,-9.911347820000000,not orthorectified
50,5,50,0,MRGA,ref 1,-40.343857270000001,110,-9.911677230000000,not orthorectified
51,2,52,0,MRGA,ref 1,-40.343458439999999,123,-9.911912859999999,not orthorectified
52,1,53,0,MRGA,ref 1,-40.339477129999999,185,-9.916893640000000,not orthorectified
53,2,54,0,MRGA,ref 1,-40.336520530000001,241,-9.916304759999999,not orthorectified
54,2,55,0,MRGA,ref 1,-40.336501790000000,241,-9.915942540000000,not orthorectified
55,2,56,0,MRGA,ref 1,-40.336015039999999,258,-9.917456890000000,not orthorectified
56,2,57,0,MRGA,ref 1,-40.335825010000001,257,-9.918968919999999,not orthorectified
57,3,58,0,MRGA,ref 1,-40.335878649999998,256,-9.919953209999999,not orthorectified
58,2,59,0,MRGA,ref 1,-40.337596710000000,217,-9.923446150000000,not orthorectified
59,1,60,0,MRGA,ref 1,-40.338684190000002,199,-9.922593910000000,not orthorectified
60,3,61,0,MRGA,ref 1,-40.336956960000002,242,-9.915277910000000,not orthorectified
61,1,62,0,MRGA,ref 1,-40.337641970000000,219,-9.920796930000000,not orthorectified
62,1,63,0,MRGA,ref 1,-40.337640980000003,220,-9.920163380000000,not orthorectified
63,3,64,0,MRGA,ref 1,-40.337241689999999,238,-9.920200330000000,not orthorectified
64,3,65,0,MRGA,ref 1,-40.336691780000002,238,-9.919493290000000,not orthorectified
65,2,66,0,MRGA,ref 1,-40.336032639999999,257,-9.918755610000000,not orthorectified
66,2,67,0,MRGA,ref 1,-40.336762999999998,240,-9.916990930000001,not orthorectified
67,3,68,0,MRGA,ref 1,-40.336894270000002,243,-9.914094700000000,not orthorectified
68,3,69,0,MRGA,ref 1,-40.337021290000003,243,-9.913869580000000,not orthorectified
69,1,70,0,MRGA,ref 1,-40.337715729999999,225,-9.913762790000000,not orthorectified
70,1,71,0,MRGA,ref 1,-40.344681600000001,95,-9.914077330000000,not orthorectified
71,3,72,0,MRGA,ref 1,-40.344279100000001,107,-9.914747580000000,not orthorectified
72,3,73,0,MRGA,ref 1,-40.344038540000000,107,-9.915244160000000,not orthorectified
73,2,74,0,MRGA,ref 1,-40.344041079999997,106,-9.916362780000000,not orthorectified
74,2,75,0,MRGA,ref 1,-40.345489669999999,79,-9.915787290000001,not orthorectified
75,1,76,0,MRGA,ref 1,-40.345160550000003,96,-9.913048390000000,not orthorectified
