OID_,Join_Count,TARGET_FID,Id,observer,obs_ID,Tile_ID,latitude,longitude,correction
0,0,0,0,PC,ref 2,274,-40.335471800000001,-9.919733160000000,not orthorectified
1,3,1,0,PC,ref 2,256,-40.335878639999997,-9.919949250000000,not orthorectified
2,2,2,0,PC,ref 2,257,-40.335826369999999,-9.918969219999999,not orthorectified
3,3,3,0,PC,ref 2,256,-40.336010700000003,-9.919889370000000,not orthorectified
4,2,4,0,PC,ref 2,257,-40.336032580000001,-9.918755220000000,not orthorectified
5,3,5,0,PC,ref 2,239,-40.336442470000001,-9.919008420000001,not orthorectified
6,3,6,0,PC,ref 2,239,-40.336443770000002,-9.918886830000000,not orthorectified
7,3,7,0,PC,ref 2,238,-40.336692120000002,-9.919490010000001,not orthorectified
8,3,8,0,PC,ref 2,238,-40.336897049999997,-9.919858480000000,not orthorectified
9,3,9,0,PC,ref 2,238,-40.337242789999998,-9.920203640000000,not orthorectified
10,1,10,0,PC,ref 2,220,-40.337640860000000,-9.920165570000000,not orthorectified
11,1,11,0,PC,ref 2,219,-40.337641619999999,-9.920788569999999,not orthorectified
12,0,12,0,PC,ref 2,255,-40.336352280000000,-9.921413740000000,not orthorectified
13,2,13,0,PC,ref 2,217,-40.337595340000000,-9.923448840000001,not orthorectified
14,1,14,0,PC,ref 2,198,-40.338462399999997,-9.923358660000000,not orthorectified
15,1,15,0,PC,ref 2,199,-40.338685890000001,-9.922593550000000,not orthorectified
16,1,16,0,PC,ref 2,218,-40.337872060000002,-9.922541030000000,not orthorectified
17,2,17,0,PC,ref 2,200,-40.338486289999999,-9.920870100000000,not orthorectified
18,2,18,0,PC,ref 2,200,-40.338391479999999,-9.920743590000001,not orthorectified
19,2,19,0,PC,ref 2,201,-40.338726160000000,-9.919459770000000,not orthorectified
20,2,20,0,PC,ref 2,221,-40.338044889999999,-9.918198260000000,not orthorectified
21,1,21,0,PC,ref 2,203,-40.338824930000001,-9.917749669999999,not orthorectified
22,1,22,0,PC,ref 2,185,-40.339384350000003,-9.916895630000001,not orthorectified
