OID_,observer,obs_ID,latitude,longitude,correction,Tile_ID,comments
0,gold standard,gold standard,-40.337657880000002,-9.923428680000001,orthorectified,217, 
1,gold standard,gold standard,-40.337914589999997,-9.922527940000000,orthorectified,218, 
2,gold standard,gold standard,-40.338493210000003,-9.923348969999999,orthorectified,198, 
3,gold standard,gold standard,-40.338710849999998,-9.922585000000000,orthorectified,199, 
4,gold standard,gold standard,-40.338508930000003,-9.920864240000000,orthorectified,200, 
5,gold standard,gold standard,-40.338415339999997,-9.920738800000001,orthorectified,200, 
6,gold standard,gold standard,-40.337674530000001,-9.920781870000001,orthorectified,219, 
7,gold standard,gold standard,-40.337674249999999,-9.920154849999999,orthorectified,220, 
8,gold standard,gold standard,-40.337277950000001,-9.920192150000000,orthorectified,238, 
9,gold standard,gold standard,-40.336732240000003,-9.919481670000000,orthorectified,238, 
10,gold standard,gold standard,-40.336936969999996,-9.919843250000000,orthorectified,238, 
11,gold standard,gold standard,-40.336423279999998,-9.921394350000000,orthorectified,237, 
12,gold standard,gold standard,-40.335939869999997,-9.919933420000000,orthorectified,256, 
13,gold standard,gold standard,-40.335540129999998,-9.919714490000000,orthorectified,256, 
14,gold standard,gold standard,-40.335880009999997,-9.918954360000001,orthorectified,257, 
15,gold standard,gold standard,-40.336078059999998,-9.918744040000000,orthorectified,257, 
16,gold standard,gold standard,-40.336478200000002,-9.918998609999999,orthorectified,239, 
17,gold standard,gold standard,-40.338746909999998,-9.919454370000000,orthorectified,201, 
18,gold standard,gold standard,-40.338068849999999,-9.918185610000000,orthorectified,221, 
19,gold standard,gold standard,-40.338843910000001,-9.917742830000000,orthorectified,203, 
20,gold standard,gold standard,-40.337904010000003,-9.917224839999999,orthorectified,222, 
21,gold standard,gold standard,-40.337621740000003,-9.917234940000000,orthorectified,222, 
22,gold standard,gold standard,-40.337621390000002,-9.916445769999999,orthorectified,223, 
23,gold standard,gold standard,-40.336791699999999,-9.916983320000000,orthorectified,240, 
24,gold standard,gold standard,-40.336805720000001,-9.917300700000000,orthorectified,240, 
25,gold standard,gold standard,-40.336062179999999,-9.917441760000001,orthorectified,258, 
26,gold standard,gold standard,-40.336168430000001,-9.917172810000000,orthorectified,258, 
27,gold standard,gold standard,-40.336556479999999,-9.916295390000000,orthorectified,241, 
28,gold standard,gold standard,-40.336563470000002,-9.916072750000000,orthorectified,241, 
29,gold standard,gold standard,-40.336543100000000,-9.915931280000001,orthorectified,241, 
30,gold standard,gold standard,-40.335915059999998,-9.915970120000001,orthorectified,259, 
31,gold standard,gold standard,-40.337003170000003,-9.915265480000000,orthorectified,242, 
32,gold standard,gold standard,-40.336968700000000,-9.914071450000000,orthorectified,243, 
33,gold standard,gold standard,-40.337103290000002,-9.913847060000000,orthorectified,243, 
34,gold standard,gold standard,-40.337794510000002,-9.913740920000000,orthorectified,225, 
35,gold standard,gold standard,-40.338179070000002,-9.914545100000000,orthorectified,224, 
36,gold standard,gold standard,-40.338447629999997,-9.914716790000000,orthorectified,205, 
37,gold standard,gold standard,-40.338646490000002,-9.915707319999999,orthorectified,204, 
38,gold standard,gold standard,-40.338739439999998,-9.915105830000000,orthorectified,205, 
39,gold standard,gold standard,-40.338745410000001,-9.914476519999999,orthorectified,206, 
40,gold standard,gold standard,-40.338757630000003,-9.914378559999999,orthorectified,206, 
41,gold standard,gold standard,-40.339039710000002,-9.916131289999999,orthorectified,204, 
42,gold standard,gold standard,-40.339355980000001,-9.915232830000001,orthorectified,187, 
43,gold standard,gold standard,-40.339320970000003,-9.914415900000000,orthorectified,188, 
44,gold standard,gold standard,-40.339051830000002,-9.914207920000001,orthorectified,206, 
45,gold standard,gold standard,-40.339083799999997,-9.914022700000000,orthorectified,206, 
46,gold standard,gold standard,-40.339199659999998,-9.913514140000000,orthorectified,188, 
47,gold standard,gold standard,-40.339394810000002,-9.912949830000001,orthorectified,189, 
48,gold standard,gold standard,-40.339667480000003,-9.911774149999999,orthorectified,190, 
49,gold standard,gold standard,-40.340119739999999,-9.912458700000000,orthorectified,171, 
50,gold standard,gold standard,-40.339859879999999,-9.912953359999999,orthorectified,189, 
51,gold standard,gold standard,-40.340269200000002,-9.914925900000000,orthorectified,169, 
52,gold standard,gold standard,-40.339732310000002,-9.915058200000001,orthorectified,187, 
53,gold standard,gold standard,-40.339399530000001,-9.916889950000000,orthorectified,185, 
54,gold standard,gold standard,-40.339493920000002,-9.916890290000000,orthorectified,185, 
55,gold standard,gold standard,-40.339911510000000,-9.917370930000001,orthorectified,185, 
56,gold standard,gold standard,-40.339972150000001,-9.917298860000001,orthorectified,185, 
57,gold standard,gold standard,-40.340612999999998,-9.916580679999999,orthorectified,168, 
58,gold standard,gold standard,-40.341098410000001,-9.916332040000000,orthorectified,151, 
59,gold standard,gold standard,-40.340644750000003,-9.915526580000000,orthorectified,169, 
60,gold standard,gold standard,-40.341897670000002,-9.915781640000001,orthorectified,134, 
61,gold standard,gold standard,-40.341163469999998,-9.914820980000000,orthorectified,152, 
62,gold standard,gold standard,-40.341810959999997,-9.915063050000001,orthorectified,152, 
63,gold standard,gold standard,-40.341957059999999,-9.914424620000000,orthorectified,136, 
64,gold standard,gold standard,-40.342889079999999,-9.914784709999999,orthorectified,120, 
65,gold standard,gold standard,-40.342429050000000,-9.914141910000000,orthorectified,136, 
66,gold standard,gold standard,-40.342365340000001,-9.913779740000001,orthorectified,136, 
67,gold standard,gold standard,-40.342889939999999,-9.913700349999999,orthorectified,121, 
68,gold standard,gold standard,-40.342890070000003,-9.912789150000000,orthorectified,122, 
69,gold standard,gold standard,-40.342815049999999,-9.912599459999999,orthorectified,122, 
70,gold standard,gold standard,-40.342674310000000,-9.912189400000001,orthorectified,138, 
71,gold standard,gold standard,-40.342166839999997,-9.912218070000000,orthorectified,137, 
72,gold standard,gold standard,-40.342129980000003,-9.912898240000001,orthorectified,137, 
73,gold standard,gold standard,-40.341814460000002,-9.912888380000000,orthorectified,154, 
74,gold standard,gold standard,-40.341724220000003,-9.912543250000001,orthorectified,154, 
75,gold standard,gold standard,-40.341525529999998,-9.912891960000000,orthorectified,154, 
76,gold standard,gold standard,-40.341278099999997,-9.913436270000000,orthorectified,153, 
77,gold standard,gold standard,-40.342468459999999,-9.910618469999999,orthorectified,139, 
