OID_,observer,obs_ID,latitude,longitude,correction,Tile_ID,comment
0,MRGA,ref 1,-40.336543820000003,-9.915931840000001,orthorectified,241, 
1,MRGA,ref 1,-40.348096179999999,-9.910079710000000,orthorectified,56, 
2,MRGA,ref 1,-40.348084970000002,-9.910697020000001,orthorectified,56, 
3,MRGA,ref 1,-40.341017999999998,-9.915279999999999,orthorectified,152, 
4,MRGA,ref 1,-40.335881669999999,-9.918956720000001,orthorectified,257, 
5,MRGA,ref 1,-40.337659649999999,-9.923430690000000,orthorectified,217, 
6,MRGA,ref 1,-40.339667179999999,-9.911772810000000,orthorectified,190, 
7,MRGA,ref 1,-40.335939990000000,-9.919934120000001,orthorectified,256, 
8,MRGA,ref 1,-40.338072259999997,-9.918192680000001,orthorectified,221, 
9,MRGA,ref 1,-40.341816450000003,-9.912889490000000,orthorectified,154, 
10,MRGA,ref 1,-40.336063959999997,-9.917442299999999,orthorectified,258, 
11,MRGA,ref 1,-40.340119960000003,-9.920632550000001,orthorectified,164, 
12,MRGA,ref 1,-40.342433579999998,-9.914143870000000,orthorectified,136, 
13,MRGA,ref 1,-40.344085849999999,-9.911339979999999,orthorectified,110, 
14,MRGA,ref 1,-40.338416430000002,-9.920739570000000,orthorectified,200, 
15,MRGA,ref 1,-40.342543030000002,-9.918416790000000,orthorectified,132, 
16,MRGA,ref 1,-40.341726719999997,-9.912545880000000,orthorectified,154, 
17,MRGA,ref 1,-40.340270980000000,-9.914926840000000,orthorectified,169, 
18,MRGA,ref 1,-40.342478139999997,-9.916510750000000,orthorectified,134, 
19,MRGA,ref 1,-40.340120460000001,-9.912460440000000,orthorectified,171, 
20,MRGA,ref 1,-40.338759170000003,-9.914380070000000,orthorectified,206, 
21,MRGA,ref 1,-40.337106290000001,-9.913845900000000,orthorectified,243, 
22,MRGA,ref 1,-40.336734860000000,-9.919481299999999,orthorectified,238, 
