OID_,observer,obs_ID,Tile_ID,latitiude,longitude,correction,comments
0,PC,ref 2,217,-40.337659649999999,-9.923430690000000,orthorectified, 
1,PC,ref 2,217,-40.337335889999999,-9.922959890000000,orthorectified, 
2,PC,ref 2,218,-40.337914589999997,-9.922527940000000,orthorectified, 
3,PC,ref 2,198,-40.338493210000003,-9.923348969999999,orthorectified, 
4,PC,ref 2,199,-40.338709629999997,-9.922584280000001,orthorectified, 
5,PC,ref 2,200,-40.338508930000003,-9.920864240000000,orthorectified, 
6,PC,ref 2,200,-40.338413400000000,-9.920736789999999,orthorectified, 
7,PC,ref 2,219,-40.337674530000001,-9.920781870000001,orthorectified, 
8,PC,ref 2,220,-40.337674249999999,-9.920154849999999,orthorectified, 
9,PC,ref 2,238,-40.337274739999998,-9.920190470000000,orthorectified, 
10,PC,ref 2,238,-40.336729759999997,-9.919481579999999,orthorectified, 
11,PC,ref 2,238,-40.336936969999996,-9.919843250000000,orthorectified, 
12,PC,ref 2,237,-40.336423279999998,-9.921394350000000,orthorectified, 
13,PC,ref 2,256,-40.335939869999997,-9.919933420000000,orthorectified, 
14,PC,ref 2,256,-40.335540129999998,-9.919714490000000,orthorectified, 
15,PC,ref 2,257,-40.335880009999997,-9.918954360000001,orthorectified, 
16,PC,ref 2,257,-40.336078059999998,-9.918744040000000,orthorectified, 
17,PC,ref 2,239,-40.336478200000002,-9.918998609999999,orthorectified, 
18,PC,ref 2,239,-40.336482050000001,-9.918874060000000,orthorectified, 
19,PC,ref 2,201,-40.338746909999998,-9.919454370000000,orthorectified, 
20,PC,ref 2,221,-40.338068849999999,-9.918185610000000,orthorectified, 
21,PC,ref 2,203,-40.338843910000001,-9.917742830000000,orthorectified, 
22,PC,ref 2,222,-40.337904010000003,-9.917224839999999,orthorectified, 
23,PC,ref 2,222,-40.337621740000003,-9.917234940000000,orthorectified, 
24,PC,ref 2,223,-40.337621390000002,-9.916445769999999,orthorectified, 
25,PC,ref 2,240,-40.336791699999999,-9.916983320000000,orthorectified, 
26,PC,ref 2,240,-40.336805720000001,-9.917300700000000,orthorectified, 
27,PC,ref 2,258,-40.336062179999999,-9.917441760000001,orthorectified, 
28,PC,ref 2,258,-40.336168430000001,-9.917172810000000,orthorectified, 
29,PC,ref 2,241,-40.336556479999999,-9.916295390000000,orthorectified, 
30,PC,ref 2,241,-40.336563470000002,-9.916072750000000,orthorectified, 
31,PC,ref 2,241,-40.336543100000000,-9.915931280000001,orthorectified, 
32,PC,ref 2,259,-40.335915059999998,-9.915970120000001,orthorectified, 
33,PC,ref 2,259,-40.336092760000000,-9.915954980000000,orthorectified, 
34,PC,ref 2,242,-40.337003170000003,-9.915265480000000,orthorectified, 
