observer,filename,file_size,region_count,region_id,cx,cy,tile_ID,observer_ID,georef_lat,georef_long,pixel_width,pixel_height,matched_nest_ID,nearby_nest,distance_to_nest_m
CA,1_Gough_Island_100m2_259.jpg,52903.0,2.0,0.0,138.0,24.0,259.0,obs8,-40.3355747984046,-9.916313402332413,334.0,334.0,,False,43.96
CA,1_Gough_Island_100m2_259.jpg,52903.0,2.0,1.0,243.0,213.0,259.0,obs8,-40.336084140840825,-9.9159421834549,334.0,334.0,13278,True,8.01
CA,2_Gough_Island_100m2_56.jpg,56973.0,1.0,0.0,286.0,304.0,56.0,obs8,-40.34808825979159,-9.910060634227007,335.0,334.0,,False,78.98
CA,3_Gough_Island_100m2_57.jpg,61766.0,1.0,0.0,154.0,277.0,57.0,obs8,-40.34802475658642,-9.909351220662858,334.0,334.0,,False,48.96
CA,5_Gough_Island_100m2_200.jpg,53128.0,1.0,0.0,230.0,88.0,200.0,obs8,-40.3384122741502,-9.920735801769595,335.0,334.0,13279,True,1.86
CA,6_Gough_Island_100m2_79.jpg,52572.0,1.0,0.0,328.0,31.0,79.0,obs8,-40.34550349293927,-9.915775662586155,334.0,335.0,13318,True,2.62
CA,7_Gough_Island_100m2_83.jpg,58810.0,1.0,0.0,110.0,213.0,83.0,obs8,-40.34603120084082,-9.911838406689212,335.0,335.0,13234,True,4.15
CA,8_Gough_Island_100m2_106.jpg,56699.0,1.0,0.0,158.0,164.0,106.0,obs8,-40.3440593990981,-9.916352386845293,334.0,334.0,13371,True,2.52
CA,10_Gough_Island_100m2_132.jpg,52003.0,1.0,0.0,237.0,275.0,132.0,obs8,-40.342537316719365,-9.918404347891391,334.0,334.0,13283,True,3.52
CA,11_Gough_Island_100m2_134.jpg,55581.0,2.0,0.0,109.0,246.0,134.0,obs8,-40.34248056364714,-9.916501283422729,334.0,334.0,13290,True,3.27
CA,11_Gough_Island_100m2_134.jpg,55581.0,2.0,1.0,316.0,30.0,134.0,obs8,-40.34189845800575,-9.915769383500757,334.0,334.0,13323,True,4.29
CA,13_Gough_Island_100m2_164.jpg,51976.0,1.0,0.0,267.0,52.0,164.0,obs8,-40.340117806543304,-9.920625960919923,335.0,335.0,13269,True,0.47
CA,14_Gough_Island_100m2_165.jpg,53222.0,2.0,0.0,105.0,229.0,165.0,obs8,-40.34060416977722,-9.920022696490038,334.0,335.0,13350,True,1.2
CA,14_Gough_Island_100m2_165.jpg,53222.0,2.0,1.0,116.0,251.0,165.0,obs8,-40.34066345831477,-9.919983804312803,334.0,335.0,13350,True,6.23
CA,15_Gough_Island_100m2_166.jpg,51382.0,1.0,0.0,105.0,269.0,166.0,obs8,-40.340721327118224,-9.918846646438533,334.0,335.0,,False,82.62
CA,16_Gough_Island_100m2_168.jpg,53435.0,1.0,0.0,82.0,223.0,168.0,obs8,-40.34061605017607,-9.916572346376439,334.0,335.0,13322,True,3.32
CA,17_Gough_Island_100m2_169.jpg,54083.0,2.0,0.0,216.0,91.0,169.0,obs8,-40.340266938950776,-9.91492248867276,334.0,335.0,13285,True,1.42
CA,17_Gough_Island_100m2_169.jpg,54083.0,2.0,1.0,47.0,231.0,169.0,obs8,-40.34064422964427,-9.91552001424824,334.0,335.0,13358,True,2.75
CA,18_Gough_Island_100m2_171.jpg,55973.0,2.0,0.0,248.0,28.0,171.0,obs8,-40.340115778138696,-9.912453727493386,335.0,335.0,13295,True,4.73
CA,18_Gough_Island_100m2_171.jpg,55973.0,2.0,1.0,162.0,27.0,171.0,obs8,-40.340113083205175,-9.912757793846486,335.0,335.0,,False,30.19
CA,19_Gough_Island_100m2_199.jpg,51385.0,1.0,0.0,218.0,130.0,199.0,obs8,-40.33851608135825,-9.92195424856703,334.0,334.0,,False,54.59
CA,21_Gough_Island_100m2_203.jpg,49872.0,3.0,0.0,14.0,302.0,203.0,obs8,-40.339017069924545,-9.91796791217407,335.0,334.0,,False,24.23
CA,21_Gough_Island_100m2_203.jpg,49872.0,3.0,1.0,7.0,302.0,203.0,obs8,-40.339017069924545,-9.917992661087034,335.0,334.0,,False,26.05
CA,21_Gough_Island_100m2_203.jpg,49872.0,3.0,2.0,171.0,104.0,203.0,obs8,-40.3384834730866,-9.91741282941186,335.0,334.0,,False,53.8
CA,22_Gough_Island_100m2_204.jpg,54957.0,2.0,0.0,204.0,306.0,204.0,obs8,-40.33903720965864,-9.91611661586497,334.0,334.0,13286,True,2.89
CA,22_Gough_Island_100m2_204.jpg,54957.0,2.0,1.0,321.0,159.0,204.0,obs8,-40.338641054430475,-9.915702955405173,334.0,334.0,13338,True,3.32
CA,23_Gough_Island_100m2_222.jpg,57986.0,4.0,0.0,224.0,223.0,222.0,obs8,-40.337901560176064,-9.917213225379818,335.0,335.0,13331,True,5.59
CA,23_Gough_Island_100m2_222.jpg,57986.0,4.0,1.0,127.0,113.0,222.0,obs8,-40.33760511748832,-9.91755617001445,335.0,335.0,,False,24.54
CA,23_Gough_Island_100m2_222.jpg,57986.0,4.0,2.0,70.0,180.0,222.0,obs8,-40.33778567803449,-9.917757694181192,335.0,335.0,,False,35.79
CA,23_Gough_Island_100m2_222.jpg,57986.0,4.0,3.0,234.0,81.0,222.0,obs8,-40.33751887961552,-9.917177870262845,335.0,335.0,13374,True,9.27
CA,25_Gough_Island_100m2_239.jpg,51683.0,6.0,0.0,150.0,213.0,239.0,obs8,-40.336968060840825,-9.918638680370716,334.0,334.0,,False,12.59
