Variables,AIC,Delta AICc,R^2,LogLik,Weight,Conf Int
"('aspect_degrees',)",71.05787989591092,0.0,0.000381135447408143,-33.52893994795546,1.0,"                       0         1
const          -2.719226  1.146957
aspect_degrees -0.008712  0.010258"
"('cube_slope_degrees',)",71.0833411786129,0.025461282701982668,1.58902357072499e-06,-33.54167058930645,0.9873500504810614,"                           0         1
const              -3.127167  1.829784
cube_slope_degrees -1.184679  1.197226"
"('minimum_age',)",70.66101156445544,0.0,0.006297175016243273,-33.33050578222772,1.0,"                    0         1
const       -1.644321  1.261019
minimum_age -0.117138  0.059202"
"('sex',)",67.9802705571986,0.0,0.046258463473217826,-31.9901352785993,1.0,"              0         1
const -2.116286 -0.291659
sex   -0.144677  2.244321"
"('aspect_degrees', 'cube_slope_degrees')",73.05723598783729,5.076965430638694,0.0003907340607021137,-33.528617993918644,0.07898615339807832,"                           0         1
const              -3.584612  2.065719
aspect_degrees     -0.008910  0.010511
cube_slope_degrees -1.235290  1.203712"
"('aspect_degrees', 'minimum_age')",72.64267141804717,4.662400860848578,0.006570568036672997,-33.321335709023586,0.0971790203897307,"                       0         1
const          -2.711204  2.066393
aspect_degrees -0.008853  0.010166
minimum_age    -0.117031  0.059515"
"('aspect_degrees', 'sex')",69.94557847163011,1.96530791443152,0.046775611692618124,-31.97278923581506,0.3743163598337143,"                       0         1
const          -3.502477  0.733473
aspect_degrees -0.008814  0.010662
sex            -0.143357  2.247077"
"('cube_slope_degrees', 'minimum_age')",72.65260772952942,4.672337172330828,0.006422449360431792,-33.32630386476471,0.09669741721206063,"                           0         1
const              -3.007655  2.410486
cube_slope_degrees -1.154185  1.267429
minimum_age        -0.118278  0.059337"
"('cube_slope_degrees', 'sex')",69.94743508678773,1.967164529589141,0.04674793548903622,-31.973717543393867,0.3739690403546023,"                           0         1
const              -3.562833  1.602645
cube_slope_degrees -1.346250  1.118622
sex                -0.140914  2.265030"
"('minimum_age', 'sex')",69.81563339467519,1.8353628374765947,0.04871267785816802,-31.907816697337598,0.3994441118770894,"                    0         1
const       -2.631847  0.842850
minimum_age -0.111218  0.073202
sex         -0.188649  2.220990"
"('aspect_degrees', 'cube_slope_degrees', 'minimum_age')",74.63871528106839,6.658444723869792,0.006629541406557249,-33.31935764053419,0.03582094997385046,"                           0         1
const              -3.443564  2.676066
aspect_degrees     -0.009176  0.010350
cube_slope_degrees -1.201353  1.280996
minimum_age        -0.118172  0.059901"
"('aspect_degrees', 'cube_slope_degrees', 'sex')",71.89771557998262,3.9174450227840225,0.04748909457452766,-31.948857789991308,0.1410384809369326,"                           0         1
const              -4.136033  1.840787
aspect_degrees     -0.008750  0.010992
cube_slope_degrees -1.392930  1.113550
sex                -0.137115  2.270338"
"('aspect_degrees', 'minimum_age', 'sex')",71.78752680822106,3.8072562510224657,0.049131657314144594,-31.89376340411053,0.14902694871802236,"                       0         1
const          -3.698091  1.571739
aspect_degrees -0.008936  0.010605
minimum_age    -0.111019  0.073707
sex            -0.187202  2.224196"
"('cube_slope_degrees', 'minimum_age', 'sex')",71.80175583992431,3.8214852827257175,0.048919547886632664,-31.900877919962156,0.1479704567996076,"                           0         1
const              -3.587721  2.066846
cube_slope_degrees -1.326837  1.176449
minimum_age        -0.111582  0.075306
sex                -0.190178  2.241065"
"('aspect_degrees', 'cube_slope_degrees', 'minimum_age', 'sex')",73.76445790491877,5.784187347720177,0.049475541000317036,-31.882228952459382,0.05545997587126798,"                           0         1
const              -4.162728  2.330737
aspect_degrees     -0.008946  0.010898
cube_slope_degrees -1.372203  1.174943
minimum_age        -0.111301  0.076437
sex                -0.186370  2.247660"
