,gold standard,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9
gold standard,,0.94,0.76,0.65,0.62,0.48,0.85,0.66,0.52,0.42
obs1,0.46,,0.55,0.58,0.52,0.37,0.75,0.52,0.36,0.3
obs2,0.63,0.94,,0.69,0.72,0.52,0.95,0.72,0.52,0.44
obs3,0.49,0.88,0.62,,0.62,0.41,0.9,0.66,0.41,0.4
obs4,0.51,0.88,0.72,0.69,,0.52,0.9,0.72,0.45,0.44
obs5,0.63,1.0,0.83,0.73,0.83,,0.95,0.76,0.57,0.68
obs6,0.49,0.88,0.66,0.69,0.62,0.41,,0.62,0.43,0.33
obs7,0.54,0.88,0.72,0.73,0.72,0.48,0.9,,0.45,0.46
obs8,0.66,0.94,0.79,0.69,0.69,0.54,0.95,0.69,,0.49
obs9,0.69,1.0,0.86,0.85,0.86,0.83,0.95,0.9,0.64,
mean,,0.49,0.68,0.6,0.65,0.78,0.57,0.65,0.72,0.84
