observer,observer_ID,latitude,longitude,image_correction,tile_ID,comments,filename
gold standard,gold standard,-40.33765788,-9.92342868,orthorectified,217, ,
gold standard,gold standard,-40.3379145899999,-9.92252794,orthorectified,218, ,
gold standard,gold standard,-40.33849321,-9.92334896999999,orthorectified,198, ,
gold standard,gold standard,-40.3387108499999,-9.922585,orthorectified,199, ,19_Gough_Island_100m2_199.jpg
gold standard,gold standard,-40.33850893,-9.92086424,orthorectified,200, ,5_Gough_Island_100m2_200.jpg
gold standard,gold standard,-40.3384153399999,-9.9207388,orthorectified,200, ,5_Gough_Island_100m2_200.jpg
gold standard,gold standard,-40.33767453,-9.92078187,orthorectified,219, ,
gold standard,gold standard,-40.3376742499999,-9.92015484999999,orthorectified,220, ,
gold standard,gold standard,-40.33727795,-9.92019215,orthorectified,238, ,
gold standard,gold standard,-40.33673224,-9.91948167,orthorectified,238, ,
gold standard,gold standard,-40.3369369699999,-9.91984325,orthorectified,238, ,
gold standard,gold standard,-40.3364232799999,-9.92139435,orthorectified,237, ,
gold standard,gold standard,-40.3359398699999,-9.91993342,orthorectified,256, ,
gold standard,gold standard,-40.3355401299999,-9.91971449,orthorectified,256, ,
gold standard,gold standard,-40.3358800099999,-9.91895436,orthorectified,257, ,28_Gough_Island_100m2_257.jpg
gold standard,gold standard,-40.3360780599999,-9.91874404,orthorectified,257, ,28_Gough_Island_100m2_257.jpg
gold standard,gold standard,-40.3364782,-9.91899860999999,orthorectified,239, ,25_Gough_Island_100m2_239.jpg
gold standard,gold standard,-40.3387469099999,-9.91945437,orthorectified,201, ,
gold standard,gold standard,-40.3380688499999,-9.91818561,orthorectified,221, ,
gold standard,gold standard,-40.33884391,-9.91774283,orthorectified,203, ,21_Gough_Island_100m2_203.jpg
gold standard,gold standard,-40.33790401,-9.91722483999999,orthorectified,222, ,23_Gough_Island_100m2_222.jpg
gold standard,gold standard,-40.33762174,-9.91723494,orthorectified,222, ,23_Gough_Island_100m2_222.jpg
gold standard,gold standard,-40.33762139,-9.91644576999999,orthorectified,223, ,
gold standard,gold standard,-40.3367916999999,-9.91698332,orthorectified,240, ,26_Gough_Island_100m2_240.jpg
gold standard,gold standard,-40.33680572,-9.9173007,orthorectified,240, ,26_Gough_Island_100m2_240.jpg
gold standard,gold standard,-40.3360621799999,-9.91744176,orthorectified,258, ,
gold standard,gold standard,-40.33616843,-9.91717281,orthorectified,258, ,
gold standard,gold standard,-40.3365564799999,-9.91629539,orthorectified,241, ,
