nest_ID,nest_label,year,tile_ID,colony,nest_latitude,nest_longitude,date_found,date_last_alive,status,sex,minimum_age,aspect_degrees,slope_degrees,matched,nest_visible_in_satellite_binary,nest_visible_in_satellite,log_aspect_degrees,sqrt_aspect_degrees,cube_aspect_degrees,log_slope_degrees,sqrt_slope_degrees,cube_slope_degrees
13237,TRAL_2018_Gonydale100,2018,257,Gonydale,-40.335876,-9.918915,06-Jan-18,05-Jun-18,breeder,Female,22.0,169,15.3,True,1,Yes,2.230448921378274,13.0,5.528774813678871,1.212187604403958,3.9115214431215892,2.4825450806124043
13239,TRAL_2018_Gonydale102,2018,217,Gonydale,-40.337673,-9.923377,06-Jan-18,04-May-18,breeder,,,162,19.8,True,1,Yes,2.2121876044039577,12.727922061357855,5.451361778496419,1.3180633349627615,4.449719092257398,2.7053392289952405
13240,TRAL_2018_Gonydale103,2018,190,Gonydale,-40.33968832,-9.91172296,13-Jan-18,30-Jul-18,breeder,,,245,23.0,True,1,Yes,2.3909351071033793,15.652475842498529,6.257324745675973,1.380211241711606,4.795831523312719,2.8438669798515654
13242,TRAL_2018_Gonydale105,2018,256,Gonydale,-40.335905,-9.919875,06-Jan-18,02-Jul-18,breeder,,,142,14.4,True,1,Yes,2.155336037465062,11.916375287812984,5.217103446276167,1.187520720836463,3.794733192202055,2.43288079822936
13252,TRAL_2018_Gonydale114,2018,221,Gonydale,-40.338109,-9.918139,06-Jan-18,22-Oct-18,breeder,,,121,1.0,True,1,Yes,2.0863598306747484,11.0,4.9460874432487,0.3010299956639812,1.0,1.0
13257,TRAL_2018_Gonydale119,2018,154,Gonydale,-40.34181993,-9.91286147,13-Jan-18,05-Jun-18,breeder,Female,16.0,225,21.1,True,1,Yes,2.3541084391474008,15.0,6.082201995573399,1.3443922736851108,4.5934736311423405,2.763296488254628
13265,TRAL_2018_Gonydale126,2018,258,Gonydale,-40.336042,-9.917411,06-Jan-18,05-Jun-18,breeder,,,174,15.7,True,1,Yes,2.2430380486862944,13.19090595827292,5.5827701716584235,1.2227164711475833,3.96232255123179,2.5039936170122448
13269,TRAL_2018_Gonydale13,2018,164,Gonydale,-40.340116,-9.920621,06-Jan-18,22-Oct-18,breeder,,,71,5.0,True,1,Yes,1.8573324964312685,8.426149773176359,4.140817749422853,0.7781512503836436,2.23606797749979,1.7099759466766968
13275,TRAL_2018_Gonydale135,2018,136,Gonydale,-40.34242845,-9.91408096,06-Jan-18,02-Jul-18,breeder,,,264,12.0,True,1,Yes,2.423245873936808,16.24807680927192,6.415068659991652,1.1139433523068367,3.4641016151377544,2.2894284851066637
13277,TRAL_2018_Gonydale137,2018,110,Gonydale,-40.34407935,-9.91132666,13-Jan-18,06-Apr-18,breeder,,,214,21.6,True,1,Yes,2.3324384599156054,14.628738838327793,5.981424029720885,1.354108439147401,4.6475800154489,2.7849533001676674
13279,TRAL_2018_Gonydale139,2018,200,Gonydale,-40.338429,-9.920735,06-Jan-18,05-Jun-18,breeder,Male,13.0,177,6.6,True,1,Yes,2.250420002308894,13.30413469565007,5.61467240800149,0.8808135922807914,2.569046515733026,1.8757774553669033
13283,TRAL_2018_Gonydale142,2018,132,Gonydale,-40.342554,-9.918369,13-Jan-18,30-Aug-18,breeder,Female,29.0,109,12.4,True,1,Yes,2.041392685158225,10.44030650891055,4.776856181035017,1.1271047983648077,3.521363372331802,2.3145890545258756
13284,TRAL_2018_Gonydale143,2018,154,Gonydale,-40.34174105,-9.91247616,06-Jan-18,02-Jul-18,breeder,,,240,19.5,True,1,Yes,2.3820170425748683,15.491933384829668,6.214465011907717,1.3117538610557542,4.415880433163924,2.6916063060436417
13285,TRAL_2018_Gonydale144,2018,169,Gonydale,-40.34026081,-9.91490783,06-Jan-18,30-Aug-18,breeder,Female,16.0,259,9.6,True,1,Yes,2.4149733479708178,16.09347693943108,6.374311087929093,1.0253058652647702,3.0983866769659336,2.125317138365222
13290,TRAL_2018_Gonydale149,2018,134,Gonydale,-40.342484,-9.916463,06-Jan-18,22-Oct-18,breeder,Female,20.0,282,0.9,True,1,Yes,2.45178643552429,16.792855623746664,6.557672186169711,0.2787536009528289,0.9486832980505138,0.9654893846056297
13295,TRAL_2018_Gonydale154,2018,171,Gonydale,-40.34013273,-9.91240256,06-Jan-18,30-Jul-18,breeder,,,288,18.6,True,1,Yes,2.4608978427565478,16.97056274847714,6.603854497789253,1.2922560713564761,4.312771730569565,2.6495430563738203
13299,TRAL_2018_Gonydale18,2018,206,Gonydale,-40.33876631,-9.91433183,13-Jan-18,13-Apr-18,breeder,,,256,12.8,True,1,Yes,2.4099331233312946,16.0,6.3496042078727974,1.1398790864012365,3.5777087639996634,2.3392141905702926
13301,TRAL_2018_Gonydale2,2018,243,Gonydale,-40.33709815,-9.91380243,13-Jan-18,06-Apr-18,breeder,,,265,17.6,True,1,Yes,2.424881636631067,16.278820596099706,6.423158288562368,1.2695129442179163,4.1952353926806065,2.601182893702774
13302,TRAL_2018_Gonydale20,2018,238,Gonydale,-40.336725,-9.919447,06-Jan-18,13-Apr-18,breeder,,,139,7.9,True,1,Yes,2.146128035678238,11.789826122551595,5.180101467380292,0.9493900066449128,2.8106938645110393,1.991631701289913
13311,TRAL_2018_Gonydale32,2018,138,Gonydale,-40.34216333,-9.91218237,19-Jan-18,06-Apr-18,breeder,Male,32.0,244,22.1,True,1,Yes,2.3891660843645326,15.620499351813308,6.248799769526243,1.3636119798921444,4.701063709417263,2.8062784283904376
13313,TRAL_2018_Gonydale34,2018,243,Gonydale,-40.33697343,-9.91403435,13-Jan-18,22-Oct-18,breeder,Male,19.0,262,22.9,True,1,Yes,2.419955748489758,16.186414056238647,6.39882791035777,1.3783979009481377,4.78539444560216,2.83973944577827
13318,TRAL_2018_Gonydale40,2018,79,Gonydale,-40.34552523,-9.91576103,26-Jan-18,30-Aug-18,breeder,Female,5.0,72,2.0,True,1,Yes,1.863322860120456,8.48528137423857,4.160167646103808,0.47712125471966244,1.4142135623730951,1.2599210498948732
13320,TRAL_2018_Gonydale42,2018,107,Gonydale,-40.344279,-9.914748,13-Jan-18,02-Jul-18,breeder,,,155,4.0,True,1,Yes,2.1931245983544616,12.449899597988733,5.371685354944832,0.6989700043360189,2.0,1.5874010519681994
13323,TRAL_2018_Gonydale45,2018,134,Gonydale,-40.341866,-9.915742,06-Jan-18,27-Mar-18,breeder,,,82,8.5,True,1,Yes,1.919078092376074,9.055385138137417,4.344481485768611,0.9777236052888477,2.9154759474226504,2.040827550958674
13327,TRAL_2018_Gonydale49,2018,153,Gonydale,-40.34130125,-9.91337629,06-Jan-18,22-Oct-18,breeder,,,243,20.0,True,1,Yes,2.387389826338729,15.588457268119896,6.240251469155711,1.3222192947339193,4.47213595499958,2.7144176165949063
13328,TRAL_2018_Gonydale5,2018,206,Gonydale,-40.33871661,-9.91446954,06-Jan-18,05-Jun-18,breeder,,,243,12.9,True,1,Yes,2.387389826338729,15.588457268119896,6.240251469155711,1.1430148002540952,3.591656999213594,2.3452900988768355
13330,TRAL_2018_Gonydale51,2018,123,Gonydale,-40.34347409,-9.91187777,13-Jan-18,17-Mar-18,breeder,,,205,18.5,True,1,Yes,2.3138672203691533,14.317821063276353,5.896368539970366,1.290034611362518,4.301162633521313,2.6447862363471035
13341,TRAL_2018_Gonydale63,2018,223,Gonydale,-40.33763501,-9.91639134,13-Jan-18,02-Jul-18,breeder,,,212,4.0,True,1,Yes,2.3283796034387376,14.560219778561036,5.96273195774369,0.6989700043360189,2.0,1.5874010519681994
13345,TRAL_2018_Gonydale67,2018,137,Gonydale,-40.3421376,-9.91281252,06-Jan-18,02-Jul-18,breeder,Female,15.0,218,20.2,True,1,Yes,2.3404441148401185,14.7648230602334,6.018461654806452,1.3263358609287514,4.494441010848846,2.7234356815688767
13351,TRAL_2018_Gonydale72,2018,122,Gonydale,-40.34280681,-9.91257976,13-Jan-18,22-Oct-18,breeder,,,233,16.4,True,1,Yes,2.369215857410143,15.264337522473747,6.153449493663682,1.2405492482825997,4.049691346263317,2.5406681855449613
13354,TRAL_2018_Gonydale75,2018,120,Gonydale,-40.34287948,-9.91476743,13-Jan-18,02-Jul-18,breeder,,,94,2.6,True,1,Yes,1.9777236052888478,9.695359714832659,4.546835943776344,0.5563025007672873,1.61245154965971,1.375068867074141
13355,TRAL_2018_Gonydale76,2018,154,Gonydale,-40.34153452,-9.91285259,13-Jan-18,02-Jul-18,breeder,Male,19.0,227,24.4,True,1,Yes,2.357934847000454,15.066519173319364,6.100170200393062,1.404833716619938,4.9396356140913875,2.9004359233715116
13356,TRAL_2018_Gonydale77,2018,241,Gonydale,-40.33655098,-9.91626344,06-Jan-18,05-Jun-18,breeder,,,264,7.6,True,1,Yes,2.423245873936808,16.24807680927192,6.415068659991652,0.9344984512435677,2.756809750418044,1.966095144983117
