Variables,AIC,AICc,Delta AICc,R^2,LogLik,Weight,Conf Int,Coef & P-values
"('aspect_degrees',)",56.78978967529901,57.03468763448269,0.0,0.06036608829594936,-26.394894837649506,1.0,"                       0         1
const          -2.735402  1.400906
aspect_degrees -0.000988  0.021287","{'aspect_degrees': (0.010149806114922288, 0.07407055714421659)}"
"('cube_slope_degrees',)",60.10152013565674,60.346418094840416,3.3117304603577296,0.0014188133377495138,-28.05076006782837,0.1909267885992811,"                           0         1
const              -1.236649  4.434533
cube_slope_degrees -1.541751  1.153881","{'cube_slope_degrees': (-0.19393521482171241, 0.7779309960836234)}"
"('minimum_age',)",59.95752571915978,60.20242367834346,3.1677360438607707,0.003981847546993378,-27.97876285957989,0.20517992088100379,"                    0         1
const       -0.784510  2.465601
minimum_age -0.075724  0.123363","{'minimum_age': (0.023819856059841507, 0.6390681757241731)}"
"('sex',)",58.421369166369814,58.66626712555349,1.6315794910708021,0.031324725773372086,-27.210684583184907,0.4422898929290777,"              0         1
const  0.639395  2.770101
sex   -2.246065  0.458430","{'sex': (-0.8938178760220952, 0.19514416657801092)}"
"('aspect_degrees', 'cube_slope_degrees')",58.010330505426474,58.510330505426474,1.475642870943787,0.07424010206463127,-26.005165252713237,0.4781544720214427,"                           0         1
const              -2.732634  3.490271
aspect_degrees     -0.000375  0.024731
cube_slope_degrees -2.247311  0.866374","{'aspect_degrees': (0.012178155270482681, 0.057249774317612544), 'cube_slope_degrees': (-0.6904683877465672, 0.3847075420520073)}"
"('aspect_degrees', 'minimum_age')",58.49929860001148,58.99929860001148,1.9646109655287916,0.06553669547333041,-26.24964930000574,0.3744468222519336,"                       0         1
const          -3.764491  1.535373
aspect_degrees -0.000912  0.021442
minimum_age    -0.074521  0.130238","{'aspect_degrees': (0.010264578466474644, 0.07186649772799233), 'minimum_age': (0.027858442622970693, 0.5938085995451575)}"
"('aspect_degrees', 'sex')",56.76752596364024,57.26752596364024,0.23283832915755198,0.09636144977722849,-25.38376298182012,0.8901020458424379,"                       0         1
const          -2.461646  1.971127
aspect_degrees -0.000714  0.022514
sex            -2.415627  0.418171","{'aspect_degrees': (0.010899741246940606, 0.06585558272190468), 'sex': (-0.9987279467399786, 0.1671197855040083)}"
"('cube_slope_degrees', 'minimum_age')",61.837516161677684,62.337516161677684,5.302828527194997,0.006117962326619764,-27.918758080838842,0.0705513642445945,"                           0         1
const              -1.776481  4.375885
cube_slope_degrees -1.617229  1.132374
minimum_age        -0.074348  0.126528","{'cube_slope_degrees': (-0.2424270536204314, 0.7296341084548446), 'minimum_age': (0.02609002254736733, 0.6106652194966514)}"
"('cube_slope_degrees', 'sex')",60.23180732162937,60.73180732162937,3.6971196871466816,0.03469883919149486,-27.115903660814684,0.15746377556642316,"                           0         1
const              -0.798532  5.505963
cube_slope_degrees -1.703962  1.086201
sex                -2.295590  0.436971","{'cube_slope_degrees': (-0.3088807065723051, 0.6643250969389043), 'sex': (-0.9293092791568659, 0.1824931975588565)}"
"('minimum_age', 'sex')",59.959748102923264,60.459748102923264,3.425060468440577,0.03954136782175344,-26.979874051461632,0.18040873827047854,"                    0         1
const       -0.535315  2.966433
minimum_age -0.066589  0.135892
sex         -2.341163  0.409168","{'minimum_age': (0.03465132260887365, 0.5023269754934138), 'sex': (-0.965997528479056, 0.16857590019489443)}"
