nest_ID,nest_label,observation_before_after_satellite,date,bird_ID,first_marked,age_class,sex,minimum_age
13229,TRAL_2018_Gony_Path151,before,2018-01-26 00:00:00+00:00,GO-16-18-5380,2018-01-18T23:00:00Z,Adult,Male,5
13229,TRAL_2018_Gony_Path151,after,2018-02-05 00:00:00+00:00,GO-16-18-5380,2018-01-18T23:00:00Z,Adult,Male,5
13246,TRAL_2018_Gonydale109,before,2018-01-26 00:00:00+00:00,GO-TRAL-871,1985-11-06T23:00:00Z,Chick,Male,32
13246,TRAL_2018_Gonydale109,after,2018-02-05 00:00:00+00:00,GO-TRAL-871,1985-11-06T23:00:00Z,Chick,Male,32
13254,TRAL_2018_Gonydale116,before,2018-01-26 00:00:00+00:00,GO-TRAL-1844,1997-11-09T23:00:00Z,Chick,Male,20
13254,TRAL_2018_Gonydale116,after,2018-02-05 00:00:00+00:00,GO-TRAL-1844,1997-11-09T23:00:00Z,Chick,Male,20
13255,TRAL_2018_Gonydale117,before,2018-01-26 00:00:00+00:00,GO-TRAL-0916-7797,2016-01-22T23:00:00Z,Adult,Male,7
13255,TRAL_2018_Gonydale117,after,2018-02-05 00:00:00+00:00,GO-TRAL-0916-7797,2016-01-22T23:00:00Z,Adult,Male,7
13268,TRAL_2018_Gonydale129,before,2018-01-26 00:00:00+00:00,GO-TRAL-2214,2001-02-27T23:00:00Z,Adult,Male,22
13268,TRAL_2018_Gonydale129,after,2018-02-05 00:00:00+00:00,GO-TRAL-2214,2001-02-27T23:00:00Z,Adult,Male,22
13270,TRAL_2018_Gonydale130,before,2018-01-26 00:00:00+00:00,GO-TRAL-3075,2006-09-25T22:00:00Z,Chick,Male,11
13270,TRAL_2018_Gonydale130,after,2018-02-05 00:00:00+00:00,GO-TRAL-3075,2006-09-25T22:00:00Z,Chick,Male,11
13274,TRAL_2018_Gonydale134,before,2018-01-26 00:00:00+00:00,GO-TRAL-1793,1995-11-06T23:00:00Z,Chick,Female,22
