observer,filename,file_size,region_count,region_id,cx,cy,tile_ID,observer_ID,georef_lat,georef_long,pixel_width,pixel_height
CA,1_Gough_Island_100m2_259.jpg,52903.0,2.0,0.0,138.0,24.0,259.0,obs8,-40.3355747984046,-9.916313402332413,334.0,334.0
CA,1_Gough_Island_100m2_259.jpg,52903.0,2.0,1.0,243.0,213.0,259.0,obs8,-40.336084140840825,-9.9159421834549,334.0,334.0
CA,2_Gough_Island_100m2_56.jpg,56973.0,1.0,0.0,286.0,304.0,56.0,obs8,-40.34808825979159,-9.910060634227007,335.0,334.0
CA,3_Gough_Island_100m2_57.jpg,61766.0,1.0,0.0,154.0,277.0,57.0,obs8,-40.34802475658642,-9.909351220662858,334.0,334.0
CA,5_Gough_Island_100m2_200.jpg,53128.0,1.0,0.0,230.0,88.0,200.0,obs8,-40.3384122741502,-9.920735801769595,335.0,334.0
CA,6_Gough_Island_100m2_79.jpg,52572.0,1.0,0.0,328.0,31.0,79.0,obs8,-40.34550349293927,-9.915775662586155,334.0,335.0
CA,7_Gough_Island_100m2_83.jpg,58810.0,1.0,0.0,110.0,213.0,83.0,obs8,-40.34603120084082,-9.911838406689212,335.0,335.0
CA,8_Gough_Island_100m2_106.jpg,56699.0,1.0,0.0,158.0,164.0,106.0,obs8,-40.3440593990981,-9.916352386845293,334.0,334.0
CA,10_Gough_Island_100m2_132.jpg,52003.0,1.0,0.0,237.0,275.0,132.0,obs8,-40.342537316719365,-9.918404347891391,334.0,334.0
CA,11_Gough_Island_100m2_134.jpg,55581.0,2.0,0.0,109.0,246.0,134.0,obs8,-40.34248056364714,-9.916501283422729,334.0,334.0
CA,11_Gough_Island_100m2_134.jpg,55581.0,2.0,1.0,316.0,30.0,134.0,obs8,-40.34189845800575,-9.915769383500757,334.0,334.0
CA,13_Gough_Island_100m2_164.jpg,51976.0,1.0,0.0,267.0,52.0,164.0,obs8,-40.340117806543304,-9.920625960919923,335.0,335.0
CA,14_Gough_Island_100m2_165.jpg,53222.0,2.0,0.0,105.0,229.0,165.0,obs8,-40.34060416977722,-9.920022696490038,334.0,335.0
CA,14_Gough_Island_100m2_165.jpg,53222.0,2.0,1.0,116.0,251.0,165.0,obs8,-40.34066345831477,-9.919983804312803,334.0,335.0
CA,15_Gough_Island_100m2_166.jpg,51382.0,1.0,0.0,105.0,269.0,166.0,obs8,-40.340721327118224,-9.918846646438533,334.0,335.0
CA,16_Gough_Island_100m2_168.jpg,53435.0,1.0,0.0,82.0,223.0,168.0,obs8,-40.34061605017607,-9.916572346376439,334.0,335.0
CA,17_Gough_Island_100m2_169.jpg,54083.0,2.0,0.0,216.0,91.0,169.0,obs8,-40.340266938950776,-9.91492248867276,334.0,335.0
CA,17_Gough_Island_100m2_169.jpg,54083.0,2.0,1.0,47.0,231.0,169.0,obs8,-40.34064422964427,-9.91552001424824,334.0,335.0
CA,18_Gough_Island_100m2_171.jpg,55973.0,2.0,0.0,248.0,28.0,171.0,obs8,-40.340115778138696,-9.912453727493386,335.0,335.0
CA,18_Gough_Island_100m2_171.jpg,55973.0,2.0,1.0,162.0,27.0,171.0,obs8,-40.340113083205175,-9.912757793846486,335.0,335.0
