,gold standard,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9
gold standard,,0.62,0.69,0.56,0.56,0.54,0.62,0.59,0.58,0.52
obs1,0.62,,0.7,0.7,0.65,0.54,0.81,0.65,0.52,0.46
obs2,0.69,0.7,,0.65,0.72,0.64,0.78,0.72,0.63,0.58
obs3,0.56,0.7,0.65,,0.65,0.53,0.78,0.69,0.51,0.55
obs4,0.56,0.65,0.72,0.65,,0.64,0.73,0.72,0.55,0.58
obs5,0.54,0.54,0.64,0.53,0.64,,0.58,0.59,0.56,0.76
obs6,0.62,0.81,0.78,0.78,0.73,0.58,,0.73,0.59,0.49
obs7,0.59,0.65,0.72,0.69,0.72,0.59,0.73,,0.55,0.6
obs8,0.58,0.52,0.63,0.51,0.55,0.56,0.59,0.55,,0.55
obs9,0.52,0.46,0.58,0.53,0.58,0.74,0.49,0.6,0.55,
