,gold standard,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9
gold standard,,0.46,0.63,0.49,0.51,0.63,0.49,0.54,0.66,0.69
obs1,0.94,,0.94,0.88,0.88,1.0,0.88,0.88,0.94,1.0
obs2,0.76,0.55,,0.62,0.72,0.83,0.66,0.72,0.79,0.86
obs3,0.65,0.58,0.69,,0.69,0.73,0.69,0.73,0.69,0.85
obs4,0.62,0.52,0.72,0.62,,0.83,0.62,0.72,0.69,0.86
obs5,0.48,0.37,0.52,0.41,0.52,,0.41,0.48,0.54,0.83
obs6,0.85,0.75,0.95,0.9,0.9,0.95,,0.9,0.95,0.95
obs7,0.66,0.52,0.72,0.66,0.72,0.76,0.62,,0.69,0.9
obs8,0.52,0.36,0.52,0.41,0.45,0.57,0.43,0.45,,0.64
obs9,0.42,0.3,0.44,0.39,0.44,0.67,0.33,0.46,0.49,
