cluster,tile_ID,matched_nests,has_matched_nest,unmatched_nests,num_observers
10,257.0,3,True,,3
11,257.0,9,True,,9
17,224.0,2,True,,2
19,240.0,2,True,,2
20,240.0,9,True,,9
24,222.0,5,True,,5
26,204.0,4,True,,4
28,204.0,8,True,,8
34,165.0,9,True,,9
36,164.0,9,True,,9
42,132.0,9,True,,9
58,200.0,9,True,,9
61,199.0,3,True,,3
63,83.0,9,True,,9
67,57.0,2,True,,2
72,106.0,9,True,,9
75,79.0,9,True,,9
77,79.0,2,True,,2
78,171.0,9,True,,9
81,134.0,9,True,,9
86,134.0,9,True,,9
87,168.0,9,True,,9
88,169.0,9,True,,9
